,t,filtered_eda
0,0.0,0.46057921250118083
1,0.25,0.4548974705239613
2,0.5,0.4497433479333224
3,0.75,0.4472708415578218
4,1.0,0.44930448913159343
5,1.25,0.4545014928263898
6,1.5,0.45945283545695437
7,1.75,0.46198063121090405
8,2.0,0.462451375592467
9,2.25,0.4618456953168491
10,2.5,0.4603919469644236
11,2.75,0.4586728784338128
12,3.0,0.4576059069537924
13,3.25,0.4571729663799289
14,3.5,0.4563741191431386
15,3.75,0.455188333577773
16,4.0,0.4552803190925741
17,4.25,0.45673212966836074
18,4.5,0.4570567417368056
19,4.75,0.455526735204115
20,5.0,0.4539629666595161
21,5.25,0.4528218492327481
22,5.5,0.4522385869360328
23,5.75,0.4533850379634908
24,6.0,0.4539094213753512
25,6.25,0.4506088087730234
26,6.5,0.44672416042646956
27,6.75,0.44631606929674494
28,7.0,0.4469214857474431
29,7.25,0.44540259089935835
30,7.5,0.44334176400589836
31,7.75,0.4429737145718964
32,8.0,0.44390691314782255
33,8.25,0.44415681101602233
34,8.5,0.44219232749045506
35,8.75,0.43948421526866344
36,9.0,0.43932382897048405
37,9.25,0.4419046894382122
38,9.5,0.443739154029068
39,9.75,0.4428639398456945
40,10.0,0.44171075481573824
41,10.25,0.4423243906083176
42,10.5,0.44295299880278244
43,10.75,0.4426133372236325
44,11.0,0.4425500015351359
45,11.25,0.44246032305070904
46,11.5,0.44131551204031105
47,11.75,0.439970817029719
48,12.0,0.43934659654418345
49,12.25,0.43871500807065106
50,12.5,0.43795637532401244
51,12.75,0.43789005944613574
52,13.0,0.4379995173377058
53,13.25,0.4376710051730674
54,13.5,0.4374411950848834
55,13.75,0.4375854158564035
56,14.0,0.43752192243114507
57,14.25,0.4364342147675293
58,14.5,0.43472860886802883
59,14.75,0.43365098677448755
60,15.0,0.4331116312657639
61,15.25,0.43216394578972084
62,15.5,0.43090978949648256
63,15.75,0.4302174906087115
64,16.0,0.43023033292226526
65,16.25,0.43058627612572187
66,16.5,0.4309860244138246
67,16.75,0.4308666511769049
68,17.0,0.43040991483520236
69,17.25,0.4305335775241583
70,17.5,0.43053018919672326
71,17.75,0.4284969135569385
72,18.0,0.42521000176740414
73,18.25,0.4239881418507514
74,18.5,0.42539366003341683
