G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
Gt,A,80,65,25,60,60,75,6,4,1,3,2,5,1440,68.57
Gt,B,50,50,50,50,50,50,6,4,1,3,2,5,1050,50.00
