G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
G1,A,80,35,60,65,40,40,4,3,2,5,1,6,1150,54.76
G1,B,50,50,50,50,50,50,4,3,2,5,1,6,1050,50.00
