G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
G3,A,60,60,40,70,80,70,5,3,2,1,4,6,1370,65.24
G3,B,50,50,50,50,50,50,5,3,2,1,4,6,1050,50.00
