G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
G4,A,70,80,95,95,85,90,2,1,5,4,3,6,1870,89.05
G4,B,50,50,50,50,50,50,2,1,5,4,3,6,1050,50.00
