G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
G2,A,75,65,95,80,85,85,2,1,6,3,4,5,1790,85.24
G2,B,50,50,50,50,50,50,2,1,6,3,4,5,1050,50.00
