G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
A_reading,A,0,0,0,0,10,0,5,1,3,2,4,6,40,1.90
A_reading,B,50,50,50,50,50,50,5,1,3,2,4,6,1050,50.00
