G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
reading2_A,A,0,0,5,0,0,0,4,5,6,3,2,1,30,1.43
reading2_A,B,50,50,50,50,50,50,4,5,6,3,2,1,1050,50.00
