G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
A_task3,A,31,30,26,26,89,27,5,3,2,4,6,1,962,45.81
A_task3,B,50,50,50,50,50,50,5,3,2,4,6,1,1050,50.00
