G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
A_task1,A,30,30,20,30,9,10,6,3,4,5,1,2,529,25.19
A_task1,B,50,50,50,50,50,50,6,3,4,5,1,2,1050,50.00
