G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
A_task4,A,75,70,70,81,74,41,5,2,3,6,4,1,1548,73.71
A_task4,B,50,50,50,50,50,50,5,2,3,6,4,1,1050,50.00
