G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
A_task2,A,60,50,60,70,40,35,6,3,4,5,2,1,1215,57.86
A_task2,B,50,50,50,50,50,50,6,3,4,5,2,1,1050,50.00
