1607668961.000000, 1607668961.000000, 1607668961.000000
32.000000, 32.000000, 32.000000
-4,10,63
-5,9,63
-5,10,63
-5,10,63
-4,10,63
-5,10,62
-5,10,62
-4,10,63
-4,10,62
-4,11,63
-6,9,62
-5,10,62
-5,11,63
-5,9,62
-5,9,63
-5,10,63
-5,10,63
-5,10,63
-5,11,63
-5,11,62
-6,11,62
-5,11,63
-6,15,65
-6,19,71
-19,27,72
-15,34,76
-18,37,81
-20,37,81
-11,32,73
-9,26,61
-30,20,49
-29,15,46
-38,8,37
-41,3,34
-54,-7,1
-53,-16,-8
-50,-20,-10
-53,-18,-16
-56,-18,-15
-57,-21,-10
-50,-15,5
-44,-12,19
-28,5,48
-21,24,54
-25,33,55
-57,44,20
-101,48,6
-83,57,37
-35,60,51
-44,56,41
-64,44,-1
-72,42,-13
-41,44,12
-49,39,-8
-44,34,-5
-24,40,8
-54,45,9
-30,45,-6
-32,54,-9
-82,49,-19
-51,50,-26
-55,53,-18
-47,72,16
-33,57,8
-27,67,-8
-45,53,-10
-44,51,-4
-56,57,-9
-30,50,12
-35,48,-2
-62,39,-28
-54,33,-18
-51,39,-30
-52,47,2
-42,50,15
-46,44,11
-42,41,7
-47,43,4
-33,48,-2
-52,47,1
-48,39,-11
-19,20,-25
-6,20,-26
-70,28,-38
-59,40,-19
-25,57,31
-64,49,-21
-63,43,-30
-55,53,-8
-56,57,7
-42,51,8
-37,43,11
-23,47,29
-49,38,-3
-40,43,3
-43,40,3
-38,40,-3
-49,40,-16
-40,43,-5
-5,60,34
-65,51,2
-48,51,0
-31,55,-6
-66,50,-10
-43,47,-6
-52,47,-14
-49,44,3
-42,42,0
-57,38,-10
-30,35,10
-21,47,20
-56,39,-1
-48,39,-5
-55,40,20
-40,38,21
-35,36,13
-49,39,31
-61,28,3
-53,36,27
-35,29,17
-41,32,20
-50,41,18
-66,46,25
-56,41,33
-56,32,2
-59,22,-9
-58,32,5
-72,24,-25
-73,22,-27
-54,29,-8
-68,29,-20
-64,28,-12
-60,23,-22
-51,25,-21
-46,30,-5
-52,31,-6
-56,29,0
-56,23,-3
-60,27,6
-66,24,-9
-58,24,-11
-64,28,2
-54,25,-2
-56,26,-1
-61,29,0
-59,28,-1
-65,32,3
-64,30,-8
-52,26,-12
-52,32,5
-52,13,-23
-50,14,-11
-56,27,-1
-58,26,-9
-53,29,0
-68,27,-2
-63,28,-3
-61,29,-4
-65,24,-4
-58,21,-10
-52,22,-6
-52,24,-9
-61,27,-10
-67,36,-4
-66,18,-9
-65,22,-11
-62,25,-11
-53,22,-8
-53,19,-11
-48,23,-2
-60,26,0
-63,23,-4
-60,24,-7
-62,23,-8
-64,25,-2
-60,25,-3
-61,21,-9
-70,15,-19
-50,20,-8
-45,27,3
-53,40,8
-47,36,5
-48,32,12
-52,35,5
-53,36,-2
-53,29,1
-51,18,-14
-64,29,-19
-83,37,-17
-86,37,-14
-29,36,3
-58,33,-4
-80,30,-20
-49,33,6
-35,40,26
-41,31,32
-39,25,28
-48,23,18
-63,8,15
-66,13,9
-44,24,13
-65,-4,-11
-61,1,-15
-69,8,-12
-83,0,-23
-64,17,-18
-64,25,-13
-72,27,-26
-79,34,-42
-76,20,-51
-89,-1,-36
-79,-5,-17
-86,-4,-18
-56,4,-22
-46,4,20
-48,-1,21
-56,-12,0
-52,-4,14
-75,-2,15
-79,-2,2
-80,5,-5
-70,3,-7
-71,5,-10
-64,-5,-15
-64,-9,-11
-54,-10,-9
-51,-11,0
-53,-13,-4
-54,-14,-1
-54,-19,-1
-52,-20,-2
-55,-21,-2
-55,-25,-2
-62,-25,-1
-61,-24,0
-62,-25,-1
-59,-24,1
-61,-22,1
-61,-15,3
-62,-12,3
-59,-10,5
-59,-7,4
-58,-6,5
-57,-8,7
-57,-12,8
-58,-12,7
-59,-13,7
-60,-14,6
-62,-13,5
-62,-13,6
-62,-15,6
-64,-12,4
-65,-11,3
-65,-13,3
-65,-10,4
-65,-11,5
-65,-15,3
-66,-14,0
-67,-14,1
-66,-14,1
-65,-13,0
-65,-12,-2
-64,-12,-2
-63,-11,-2
-63,-11,-4
-63,-10,-4
-64,-10,-4
-64,-9,-5
-64,-9,-6
-65,-7,-6
-64,-7,-6
-64,-6,-7
-75,-7,-9
-77,-8,-8
-64,-7,-4
-64,-7,-6
-61,-5,-5
-61,-5,-5
-64,-5,-7
-65,-6,-7
-65,-5,-7
-64,-4,-7
-62,-4,-6
-62,-4,-5
-64,-1,-6
-63,-3,-9
-66,-2,-9
-67,-5,-9
-67,-4,-14
-64,-6,-13
-60,-7,-12
-59,-8,-13
-56,-8,-13
-53,-9,-16
-55,-9,-17
-55,-6,-25
-54,-6,-28
-59,-7,-34
-59,-6,-36
-57,-5,-37
-55,-6,-35
-56,-5,-35
-56,-6,-37
-54,-6,-38
-53,-5,-37
-54,-6,-40
-50,-8,-38
-49,-2,-38
-50,-3,-44
-48,-2,-43
-51,-2,-42
-55,-2,-36
-50,-1,-40
-50,1,-41
-48,1,-42
-51,1,-42
-50,1,-41
-50,0,-39
-51,-1,-39
-51,-1,-40
-52,-1,-37
-52,-1,-36
-52,-1,-36
-53,-2,-36
-53,-1,-36
-53,-1,-36
-53,-1,-35
-54,-2,-35
-53,-2,-35
-53,-2,-35
-53,-2,-37
-53,-2,-37
-52,-2,-37
-53,-2,-37
-53,-2,-37
-52,-2,-37
-52,-2,-37
-52,-2,-37
-53,-3,-35
-53,-3,-36
-53,-2,-35
-54,-3,-36
-54,-3,-35
-54,-3,-36
-54,-3,-36
-56,-3,-32
-55,-3,-29
-56,-2,-28
-57,-3,-27
-57,-3,-28
-57,-3,-30
-57,-3,-32
-56,-3,-32
-57,-3,-30
-57,-3,-29
-57,-3,-27
-58,-4,-27
-58,-3,-27
-58,-3,-27
-60,-4,-29
-59,-3,-30
-57,-2,-28
-59,0,-25
-63,0,-27
-61,-2,-25
-66,-5,-28
-65,-6,-29
-59,-8,-24
-65,-9,-27
-59,-9,-23
-57,-10,-19
-57,-12,-16
-56,-12,-14
-55,-12,-7
-62,-11,-5
-64,-11,-4
-66,-12,3
-68,-13,2
-68,-15,8
-71,-16,11
-68,-18,10
-64,-20,12
-61,-19,16
-51,-14,22
-66,-7,16
-47,-6,35
-61,-14,10
-65,-18,0
-53,-17,13
-54,-19,12
-46,-22,24
-74,-23,3
-59,-31,4
-58,-33,-4
-57,-27,17
-55,-24,19
-67,-19,23
-54,-18,35
-60,-20,34
-57,-21,28
-54,-22,27
-48,-26,32
-52,-31,20
-52,-32,17
-49,-31,17
-50,-32,16
-51,-28,17
-50,-24,13
-57,-20,10
-66,-14,11
-59,-6,22
-59,-3,23
-59,1,19
-59,0,14
-67,-3,4
-69,-6,-8
-66,-9,-10
-52,-8,-10
-50,-8,-6
-56,-4,1
-64,-1,-3
-62,-2,0
-39,5,22
-42,12,25
-51,25,35
-66,38,45
-77,42,37
-77,46,36
-58,44,52
-45,37,46
-56,29,22
-34,35,34
-56,33,-4
-57,35,4
-64,32,-32
-64,25,-18
-35,27,1
-39,26,-6
-34,27,-13
-32,33,-34
-59,43,-50
-44,45,-41
-57,49,-54
-64,47,-77
-57,36,-75
-28,25,-28
-24,21,-7
-19,5,-10
-60,-3,-61
-70,-1,-81
-53,18,-56
-43,31,-37
-58,41,-26
-71,45,-24
-79,48,-18
-30,55,16
-45,42,15
-84,10,-13
-55,4,-8
-48,10,-4
-80,13,-10
-68,18,-1
-58,17,-7
-79,2,-16
-82,-8,-27
-84,-17,-38
-45,-15,-21
-28,-24,9
-51,-14,19
-51,-17,10
-46,0,32
-70,-1,39
-57,1,24
-56,7,13
-59,5,19
-66,3,36
-81,-4,14
-63,-5,15
-53,-7,20
-45,2,33
-53,-1,20
-68,-3,33
-69,-1,33
-55,-1,25
-58,2,18
-54,-3,13
-65,-2,11
-62,1,16
-63,4,13
-59,4,10
-63,-13,-6
-61,-8,0
-58,-10,0
-65,-21,0
-61,-18,2
-51,2,-6
-68,16,-7
-66,18,-6
-73,20,-2
-74,14,-11
-72,12,-11
-68,8,-15
-67,9,-15
-64,13,-7
-60,21,-1
-61,18,-10
-66,17,-14
-60,19,-10
-54,22,-5
-69,24,-14
-65,26,-11
-46,24,-14
-60,27,-15
-59,27,-17
-49,29,-20
-52,32,-23
-47,28,-24
-59,34,-31
-48,39,-38
-50,43,-30
-38,46,-17
-38,38,-28
-16,40,-37
-13,46,-39
21,29,-44
0,45,-44
-60,41,-68
-19,51,-53
-1,53,-44
-28,52,-50
-38,61,-46
-21,58,-34
-30,47,-47
-43,52,-40
-7,57,-34
-5,66,-43
-3,58,-22
-34,58,-50
-30,58,-41
25,44,-22
0,49,-50
-23,43,-46
-4,42,-35
-8,39,-43
-15,42,-38
-16,41,-45
-11,36,-46
-18,39,-47
-20,41,-46
-4,52,-49
-14,53,-46
-15,54,-43
-20,54,-32
-28,50,-41
-25,46,-37
-24,48,-32
-32,46,-38
-42,44,-42
-41,45,-38
-24,56,-33
-39,51,-27
-53,51,-29
-38,49,-25
-42,44,-30
-32,44,-4
-41,48,5
-22,46,20
-44,45,5
-70,39,3
-7,47,6
-63,50,3
-57,45,12
-26,43,20
-32,46,19
-40,48,26
-33,46,30
-10,50,36
-34,50,13
-49,53,-4
-50,49,2
-41,38,20
-22,44,15
-56,39,-7
-57,35,-9
-39,40,8
-34,42,-4
-58,40,-10
-64,37,-26
-26,50,23
-43,49,8
-61,46,-28
-60,41,-30
-46,40,-22
-64,40,-16
-60,38,-20
-44,35,-16
-42,36,-10
-43,39,-11
-37,41,-6
-49,41,-21
-48,43,-18
-47,42,-22
-32,38,-20
