,LPS,CSI,HR,SDNN,pNN50,RMSSD,CVRR,HF,LF,LF/HF
reading,3000.412453308494,3.576011246731266,78.82840009183944,44.18187715682587,0.18114992721979628,39.024498312254885,0.062356525536609204,371.42352074745827,342.0153881086777,0.9208231816348109
u-kt,3525.381187617064,3.782200486942525,89.31925765342648,42.12236778608355,0.10685805422647546,36.54361509209498,0.08518524493183403,127.43113506805865,215.38003129973563,1.6901680361295148
