,t,filtered_eda
0,0.0,0.2319791494325818
1,0.25,0.2317411217383154
2,0.5,0.23346232419826868
3,0.75,0.23217116846496463
4,1.0,0.23028919907803885
5,1.25,0.23375848845663952
6,1.5,0.23789860591431614
7,1.75,0.23563758668008597
8,2.0,0.23169937454397102
9,2.25,0.23131475192700346
10,2.5,0.23094048087049215
11,2.75,0.22982201576507963
12,3.0,0.2316992551767376
13,3.25,0.23398504575087287
14,3.5,0.2318697496517333
15,3.75,0.22913141839748366
16,4.0,0.23138163413623847
17,4.25,0.23447712400318177
18,4.5,0.23195190627078238
19,4.75,0.2274376158517696
20,5.0,0.22796447678747858
21,5.25,0.2313954605556645
22,5.5,0.23133774453784975
23,5.75,0.22894261728080756
24,6.0,0.22874711598663428
25,6.25,0.22872031850091853
26,6.5,0.2267503271375148
27,6.75,0.22723892722713288
28,7.0,0.23045938842292754
29,7.25,0.23048958698562302
30,7.5,0.22822110396688802
31,7.75,0.22918940660187
32,8.0,0.23132640426902734
33,8.25,0.22996739120096052
34,8.5,0.2281313179579999
35,8.75,0.22988514057431764
36,9.0,0.23187602154505246
37,9.25,0.23063785714176407
38,9.5,0.2288027812034497
39,9.75,0.22854251324567917
40,10.0,0.22830872660421198
41,10.25,0.22766306338610184
42,10.5,0.22791331216501995
43,10.75,0.22833680327881845
44,11.0,0.22717670748168445
45,11.25,0.22579448235875846
46,11.5,0.22644760616098203
47,11.75,0.22702886946118817
48,12.0,0.22512408578420184
49,12.25,0.22429196588070874
50,12.5,0.22735621048484905
51,12.75,0.22967711165524424
52,13.0,0.2279772837722039
53,13.25,0.226553406316447
54,13.5,0.22813593879041535
55,13.75,0.22870583606388525
56,14.0,0.22590420642641612
57,14.25,0.2240666831887717
58,14.5,0.22602362467692447
59,14.75,0.2274262978658417
60,15.0,0.22573399008520562
61,15.25,0.22548921143174105
62,15.5,0.22807583473935095
63,15.75,0.22828800981654787
64,16.0,0.22566131278291257
65,16.25,0.22567568751186629
66,16.5,0.22773655285971436
67,16.75,0.22636270771749475
68,17.0,0.2234448702521937
69,17.25,0.22451738261888798
70,17.5,0.22719794676975283
71,17.75,0.22666265348740577
72,18.0,0.22478882444795523
73,18.25,0.22452685808325118
74,18.5,0.22468511180852138
75,18.75,0.22481336801929339
76,19.0,0.22623813690868624
77,19.25,0.22705086229574437
78,19.5,0.22465138767925957
79,19.75,0.2218971985197603
80,20.0,0.22212009053057954
81,20.25,0.22307522108293745
82,20.5,0.22272949592616823
83,20.75,0.22322516597763162
84,21.0,0.2250554494896662
85,21.25,0.22502650149029688
86,21.5,0.22293925260721248
87,21.75,0.22353875219472286
88,22.0,0.22807356384062985
89,22.25,0.23033359084875993
90,22.5,0.22635976842729996
91,22.75,0.22151248619400546
92,23.0,0.22100332653742155
93,23.25,0.22178305630867204
94,23.5,0.22090660097458137
95,23.75,0.2210212876075207
96,24.0,0.22248436828396567
97,24.25,0.2218271024741977
98,24.5,0.22020494091805526
99,24.75,0.22176462671424982
100,25.0,0.22413105829412946
101,25.25,0.22209749713330007
102,25.5,0.21805085877203623
103,25.75,0.21789915749841013
104,26.0,0.2208041174939524
105,26.25,0.2221636473321058
106,26.5,0.2221726542679419
107,26.75,0.22328168592341158
108,27.0,0.22372287832932997
109,27.25,0.2215239195146087
110,27.5,0.21975547901157172
111,27.75,0.22061281836894778
112,28.0,0.221234880112804
113,28.25,0.2201380013413328
114,28.5,0.2197072247640912
115,28.75,0.22042176412879827
116,29.0,0.22005107639990765
117,29.25,0.21891556342013652
118,29.5,0.21897157167871925
119,29.75,0.21890695037644406
120,30.0,0.21767450640784472
121,30.25,0.21804946136047387
122,30.5,0.22004485069562074
123,30.75,0.21960803069288637
124,31.0,0.21705973817818278
125,31.25,0.21657141059889592
126,31.5,0.21800677437186244
127,31.75,0.2186109725248969
128,32.0,0.219128962277173
129,32.25,0.220193989394711
130,32.5,0.21904175556986377
131,32.75,0.21616868688550794
132,33.0,0.21592248843270903
133,33.25,0.2178859022468889
134,33.5,0.2183090817222899
135,33.75,0.21756385453580035
136,34.0,0.21724189784559586
137,34.25,0.21638691091577342
138,34.5,0.2156203846409276
139,34.75,0.21674487232423803
140,35.0,0.21778952656662764
141,35.25,0.21658350405017143
142,35.5,0.21582904868463937
143,35.75,0.2176803268509347
144,36.0,0.21925006749336393
145,36.25,0.2185504836713669
146,36.5,0.2174627993261992
147,36.75,0.21658504373983525
148,37.0,0.2150219851388559
149,37.25,0.21439961428567902
150,37.5,0.21605927174189435
151,37.75,0.21724649717730052
