,t,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,CVI,SCL,EDA,correct,error,PE,NPE,PEm,NPEm,DMS
31,61,0.4,81.46563032285063,0.11839418512653503,95.01231521607919,81.51710731829596,14078.479482781644,3.3558564730357974,3.6514058795625077,0.12660516477601744,0.12821404375359827,0.714456241857476,0.28554375814252414,9.023747600505276e-36,0.714456241857476,0.714456241857476,0.714456241857476,0.714456241857476
32,62,0.4,81.36109657358129,0.11765325091749526,94.97257155443148,75.79209387575895,14222.316446600018,3.3334307915554353,3.6558204647716446,0.12666005039548234,0.12810592779100233,0.7001927700726741,0.2998072299273259,8.212693079166493e-36,0.7001927700726741,0.7001927700726741,0.7001927700726741,0.7001927700726741
33,63,0.43333333333333335,81.9864179688107,0.11790573801210293,94.50858572142722,70.3347092288857,13963.746023502978,3.38605115703822,3.6478520684509954,0.12679422915608346,0.12946635605065485,0.6835504111424322,0.3164495888575678,-1.7975262156987725e-35,0.6835504111424322,0.6835504111424322,0.6835504111424322,0.6835504111424322
34,64,0.43333333333333335,78.59152205595316,0.11748563771966683,94.61692219497937,67.58855982025183,13392.197364370202,3.52385383816407,3.6297019683153633,0.12695298748561806,0.12929947582351758,0.6726418351881203,0.32735816481187957,-5.600778325111307e-35,0.6726418351881203,0.6726418351881203,0.6726418351881203,0.6726418351881203
35,65,0.43333333333333335,78.69126545327472,0.11606281534147574,93.98949153797588,65.88622461144485,13061.63835091904,3.4588988609476106,3.6188477822033813,0.12708758503284934,0.1286540828002234,0.6731263012527399,0.3268736987472602,-6.589427140368129e-35,0.6731263012527399,0.6731263012527399,0.6731263012527399,0.6731263012527399
36,66,0.4,76.55737379109172,0.11435575761945575,92.42751283560463,81.47483134786103,13044.676523744625,3.466710087332565,3.61828344142861,0.12720839279885654,0.12817874772095886,0.6905777472314916,0.30942225276850865,-6.72400094841519e-36,0.6905777472314916,0.6905777472314916,0.6905777472314916,0.6905777472314916
37,67,0.43333333333333335,82.83705848756927,0.11691712054344472,93.34233534892404,92.0595838158355,14033.66887715998,3.174184289351263,3.6500213524900573,0.12744249975330735,0.12986600937380471,0.7277562227827836,0.2722437772172164,1.0340755478708701e-34,0.7277562227827836,0.7277562227827836,0.7277562227827836,0.7277562227827836
38,68,0.43333333333333335,82.57136856173317,0.11710541202358304,97.09583319754871,91.9068161654035,14483.886474820332,3.290441143546486,3.6637352394497142,0.12761751037763258,0.12992263512544516,0.773912464246308,0.22608753575369214,-3.661853867766567e-35,0.773912464246308,0.773912464246308,0.773912464246308,0.773912464246308
39,69,0.43333333333333335,82.16764053823606,0.1217371675669801,101.14719217147398,82.0368150251038,15555.741059574731,3.3904892507913185,3.6947408325878066,0.1276031109121125,0.1265900816373375,0.8158223843703161,0.18417761562968354,-4.487936230323464e-34,0.8158223843703161,0.8158223843703161,0.8158223843703161,0.8158223843703161
40,70,0.4666666666666667,83.33366597280354,0.12512461923646515,101.1143011075093,71.09059098217818,15607.509338958924,3.4534104269988752,3.696183730775098,0.12767051196585957,0.12875146934770507,0.8449169858811193,0.15508301411888062,-7.904313341408861e-35,0.8449169858811193,0.8449169858811193,0.8449169858811193,0.8449169858811193
41,71,0.5,85.87235773784909,0.12400784011445164,99.6947326751213,70.80952897080965,15291.668501245249,3.39668514732449,3.6873050019497158,0.12782127891950285,0.12887314996124574,0.8561215054472402,0.14387849455275978,1.4039194170020146e-33,0.8561215054472402,0.8561215054472402,0.8561215054472402,0.8561215054472402
42,72,0.5,85.86841297145425,0.12281420437280048,98.76127167166733,85.83587156878745,15143.230556922457,3.3525634592821496,3.683068661874113,0.127925385661908,0.12603856945312578,0.8571363128189241,0.14286368718107584,-1.2683283448454864e-34,0.8571363128189241,0.8571363128189241,0.8571363128189241,0.8571363128189241
43,73,0.5333333333333333,90.14177363293557,0.121869905092632,99.06864841822036,89.01035544822508,15224.902699158149,3.2481490428940702,3.6854046530867244,0.12793887768291043,0.12986194656641928,0.8565648141704331,0.14343518582956696,-6.655377202230235e-33,0.8565648141704331,0.8565648141704331,0.8565648141704331,0.8565648141704331
44,74,0.5333333333333333,90.06918563106655,0.12314500711231059,100.24300585188308,86.23908198798776,15501.31239325306,3.2850690208915982,3.6932185958645207,0.12810386172696958,0.13360944339261746,0.8520872003631627,0.14791279963683732,-7.278510636324724e-33,0.8520872003631627,0.8520872003631627,0.8520872003631627,0.8520872003631627
45,75,0.5,89.24942048407632,0.12626564812638133,101.05870104996885,96.45579538038758,16035.943145373085,3.307351385798885,3.7079446351179177,0.1283104157422321,0.1310287322552392,0.8389366201500571,0.1610633798499431,1.0796525774148844e-32,0.8389366201500571,0.8389366201500571,0.8389366201500571,0.8389366201500571
46,76,0.5,86.04634466248329,0.12832264327854448,105.02629110802813,98.89493688198384,15709.460404732934,3.480284748883165,3.6990113952693555,0.12839604707074145,0.12855717483047518,0.8145562861058951,0.18544371389410477,2.778438789491538e-32,0.8145562861058951,0.8145562861058951,0.8145562861058951,0.8145562861058951
47,77,0.5,86.03118036245768,0.1282400455388188,105.75677050583364,101.97567100372608,15883.484730509497,3.5090256003650246,3.703795917160433,0.1284235134228506,0.12808623123222487,0.7789458731433037,0.22105412685669637,-1.340827490802111e-32,0.7789458731433037,0.7789458731433037,0.7789458731433037,0.7789458731433037
48,78,0.4666666666666667,82.34078678085008,0.13052518092223667,108.28569556066464,106.401361126728,16442.099962365213,3.7555982631729643,3.7188074115454888,0.12855563903759515,0.12893840371942045,0.7365298674949026,0.2634701325050971,-1.1095472048327296e-31,0.7365298674949026,0.7365298674949026,0.7365298674949026,0.7365298674949026
49,79,0.43333333333333335,79.39453135898458,0.13912538010706632,114.69282814446588,106.50164770519812,17203.60037249969,4.031902338094121,3.7384694729506514,0.1286314798978373,0.1301319239382636,0.7021825733006957,0.2978174266993043,-1.1425545651133542e-31,0.7021825733006957,0.7021825733006957,0.7021825733006957,0.7021825733006957
50,80,0.43333333333333335,79.01212909207145,0.14779333857460053,117.84068879987288,101.95441083647111,17987.617562521988,4.053973033240402,3.7578237726987687,0.128744239618786,0.12746058491611026,0.6918903286577883,0.3081096713422116,1.3755801255169316e-31,0.6918903286577883,0.6918903286577883,0.6918903286577883,0.6918903286577883
51,81,0.43333333333333335,79.14080189329604,0.15443293640566977,116.69206196056531,91.3191941632103,17736.801016092806,4.077557530676654,3.7517254211365665,0.12872472484680428,0.12950122689152566,0.7044169606924375,0.2955830393075626,3.4782777483252333e-31,0.7044169606924375,0.7044169606924375,0.7044169606924375,0.7044169606924375
52,82,0.4666666666666667,80.15009712895407,0.15923344294151096,112.48810638393564,98.71358462231625,16842.56370655522,4.015775510636591,3.7292583260411694,0.12877301025322857,0.1291165512126243,0.716478583100355,0.28352141689964516,-3.547074743275524e-31,0.716478583100355,0.716478583100355,0.716478583100355,0.716478583100355
53,83,0.4666666666666667,80.26433290853888,0.16020673066612856,109.1378457091871,104.00840148129662,16263.135626371059,3.8862644346078814,3.7140544111187617,0.12883497071199151,0.12859274934011214,0.7141748189201008,0.2858251810798989,-1.7462047673622512e-30,0.7141748189201008,0.7141748189201008,0.7141748189201008,0.7141748189201008
54,84,0.43333333333333335,74.30470898409165,0.1652079016743452,108.35993809374561,104.41971635391472,15371.655494270011,4.263757690496217,3.6895707699070446,0.12879849166905152,0.1281217398833662,0.7018963145628435,0.2981036854371563,-1.6907856359338595e-30,0.7018963145628435,0.7018963145628435,0.7018963145628435,0.7018963145628435
55,85,0.4,73.09264204513259,0.17179624837156762,111.2582183221017,103.10128078586439,16129.624224133264,4.307434311505869,3.710474376946138,0.12881912676033344,0.13080133436521044,0.6859576049491342,0.31404239505086573,1.9706744974727028e-30,0.6859576049491342,0.6859576049491342,0.6859576049491342,0.6859576049491342
56,86,0.4,72.82368267274632,0.175678248788645,112.99541410811233,96.43820594669533,16719.715059837956,4.352134972471393,3.7260789991532115,0.12892932041708877,0.12919232400888433,0.6790431808119846,0.3209568191880156,5.168196883106929e-30,0.6790431808119846,0.6790431808119846,0.6790431808119846,0.6790431808119846
57,87,0.36666666666666664,70.01369325046223,0.18042160481019198,113.92400263431813,89.9742114666966,16522.31693395871,4.54574604260932,3.720921075924472,0.12893470410661967,0.13084754883943625,0.7018951289769679,0.2981048710230321,-4.039773962175531e-30,0.7018951289769679,0.7018951289769679,0.7018951289769679,0.7018951289769679
