G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
J2,A,82,0,85,95,86,70,5,1,6,3,4,2,1749,80.42
J2,B,50,50,50,50,50,50,5,1,6,3,4,2,1050,50
