G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
J4,A,85,0,95,75,100,55,6,1,4,3,5,2,1725,82.14
J4,B,50,50,50,50,50,50,6,1,4,3,5,2,1050,50
