G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
Jt,A,90,0,25,70,45,36,6,1,2,5,4,3,1228,58.48
Jt,B,50,50,50,50,50,50,6,1,2,5,4,3,1050,50.00
