,A,B,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,SCL,EDA
60,a1,b1,0.1,32.75008252586003,0.06803181239602188,60.75190810498196,64.38791730017961,2964.5115293498125,6.6143986255923215,0.08454331790142586,0.0840263544440706
75,a1,b1,0.0,30.60449005637281,0.053484361988524,22.31824383450893,61.69228970696441,585.95142380133,2.730718206508927,0.08455197215214395,0.08711491663594154
90,a1,b1,0.06666666666666668,32.463006185231585,0.054601197806476605,20.51959193756084,67.86741729912497,530.0419704202793,1.922766617238788,0.08479801077927249,0.08217890363444799
105,a1,b1,0.06666666666666668,32.196195291449826,0.045188175494471655,26.707815424560362,64.5017432281214,826.6331461900415,3.053362902277278,0.08412242182498313,0.08236381205869947
120,a1,b1,0.06666666666666668,32.57879540842594,0.03619332150679408,27.35222784285691,66.31872577608345,1121.6979977817296,2.7600710196768623,0.08357359244140765,0.0849517815977538
135,a1,b1,0.06666666666666668,29.86626388408226,0.03922241612019695,28.923684531655077,67.90262966713304,1361.273386429279,2.9099934305660766,0.08340645749757257,0.08412149148848852
150,a1,b1,0.03333333333333333,22.059198912065874,0.03280926513423215,20.978310601883358,64.06671459957889,720.1600595424392,2.88146147037606,0.0832850589997119,0.08384436832203769
165,a1,b1,0.03333333333333333,23.11209633275641,0.03033965680458795,23.90889337088525,68.67158941560099,828.2280687435376,3.284281665662007,0.08294005290994387,0.08344209775747069
22,a1,b2,0.16666666666666666,39.49041042681269,0.05845748914115216,52.8064719342899,72.31299205266897,3380.674103387903,4.423203262842902,0.5011389909364758,0.4885249822760619
37,a1,b2,0.16666666666666666,44.46051777133216,0.06278556086650823,49.466551261176214,66.13075647896133,3488.449437131792,3.4014004592017923,0.492229725310857,0.4632357728991296
52,a1,b2,0.13333333333333333,46.69209974417003,0.055913027909429765,49.62770217654343,69.66391684916222,3915.215252354236,3.0816053093360565,0.4652964356036937,0.4404269537727489
67,a1,b2,0.1,41.63996378153809,0.05185809788524545,44.44157541140788,68.63580008181542,2965.325215129013,3.338873188393343,0.44135676703905297,0.4201346015647352
82,a1,b2,0.13333333333333333,35.87999540268143,0.0469101904962474,34.8485271283483,65.19483809078615,1893.8005078146725,2.930312782309501,0.4217373746969736,0.403085368822216
97,a1,b2,0.16666666666666666,35.81320793525274,0.044572389117562485,33.905889798108895,67.97995711894384,1678.4872201123903,3.083187705637492,0.4039034964720117,0.3861424306034131
112,a1,b2,0.3,40.773720040262646,0.06460270436020721,34.178002473951715,65.61510249389839,1578.645047376926,2.9531750797061216,0.3855084414913512,0.3651844784995042
127,a1,b2,0.26666666666666666,41.521952424265855,0.07702536895437385,30.874995201786557,62.203315638884746,1444.5331342400527,2.044756938638662,0.3671149403063502,0.3485497761583121
84,a2,b1,0.0,25.75824571281445,0.02926195512559318,27.24724366657796,64.2401507535111,1055.7248808117374,3.256162659086033,0.10811105200986663,0.11271794084017492
99,a2,b1,0.03333333333333333,29.50453079095423,0.037072421580006516,34.98755481439815,71.55288225863595,1653.2441032108065,3.762107721106637,0.11989811946360257,0.13260658108338086
114,a2,b1,0.03333333333333333,28.6989837663811,0.04300665305989638,37.97783151210838,62.57929653448918,1958.812346583331,3.8906797654810905,0.1292892064506828,0.14033407956090654
129,a2,b1,0.03333333333333333,28.56299163188409,0.041422676325114316,36.10780673910849,64.57715378571059,1690.0259992142005,3.864942634067722,0.14487233993257828,0.2376585316000187
144,a2,b1,0.1,32.20622227085107,0.03915431005137845,32.92675836558118,68.0454876531573,1505.6229107215165,3.5430452030349935,0.2411400752236035,0.3425321419351612
159,a2,b1,0.06666666666666668,30.849595261619587,0.032149243510704334,22.869028069467202,60.87560105719295,888.1880357635338,2.1365804144460188,0.3347448422027731,0.3424887030720343
174,a2,b1,0.03333333333333333,30.07077272465006,0.04059021986177054,31.122945746653343,65.46013193281149,1527.1887319482323,2.94481521077635,0.34417764443699383,0.3329934986017528
189,a2,b1,0.03333333333333333,29.543106115889024,0.05289760264422054,32.48780726956469,65.26305954711397,1504.2162641904567,3.3298002766677244,0.4443143452095982,1.0948751159272223
8,a2,b2,0.13333333333333333,35.16048617012129,0.08086587205238825,68.7525642933482,78.96318057049822,4852.429441199158,5.7611103759688,0.4113830343858823,0.4413125774894657
23,a2,b2,0.2333333333333333,43.121765336113214,0.07589235497695056,59.527463498471796,80.9756555471665,4149.7872346406075,4.445748289372089,0.4331320341598454,0.4421149019046615
38,a2,b2,0.3,47.036348054664,0.08974417998528379,64.7188392780192,82.38244549722708,4999.950566866281,4.311310843231677,0.4467391590811809,0.4479482189590258
53,a2,b2,0.4,54.38194649812874,0.11782490959607855,73.85127638668855,64.29635658433838,7027.766589296477,4.2102948930392206,0.44335523905357205,0.4276869862968721
68,a2,b2,0.2333333333333333,44.91558043227852,0.0906543397182844,74.23143572302737,64.45300641183583,5997.335020082314,5.110982252932464,0.4339908642954415,0.4125373891235456
83,a2,b2,0.13333333333333333,33.677295691448606,0.036014915812206866,29.249696896536346,67.79595192255125,1382.1953622071476,2.6253478429963915,0.4173441131869982,0.4072720853797856
98,a2,b2,0.1,28.82928379253909,0.029741830018218694,23.98454967023721,64.21950511732217,980.685098460482,2.3193033336374334,0.43547180647396055,0.4863321987873382
113,a2,b2,0.03333333333333333,26.75081976805232,0.03606342581033997,22.162116792866655,67.76322832742021,798.3476608051411,2.4783842926648267,0.4739479869079482,0.4733514820174731
