,LPS,CSI,HR,SDNN,pNN50,RMSSD,CVRR,HF,LF,LF/HF
reading,3370.0296219503807,4.773408825153161,65.22823156674983,52.75516062099048,0.14659722222222196,35.66091422207738,0.07308865218369474,222.49546151921078,519.9618353591989,2.3369547936343147
u-kt,1605.7740326705261,3.1267861574493865,71.43414888313873,29.105791171375397,0.041254125412541316,25.793964382731314,0.037916514533398456,115.82257414063189,117.880256563474,1.0177658149813151
