G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
C_24,A,91,52,90,91,50,50,5,3,6,2,4,1,1583,75.38
C_24,B,81,68,94,50,76,50,5,3,6,2,4,1,1627,77.48
