G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
13,A,83,20,35,81,64,66,5,1,2,3,6,4,1396,66.48
13,B,87,18,21,77,87,83,5,1,2,3,6,4,1580,75.24
