G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
training,A,80,21,23,80,50,29,6,1,4,5,3,2,1201,57.19
training,B,50,50,50,50,50,50,6,1,4,5,3,2,1050,50.00
