answer,choicedCardRule,sortingRule,RT 
2,-1,0,2001.7349 
0,0,0,213.3852 
1,1,0,1797.7667 
1,2,0,1285.1929 
0,0,0,1557.3492 
0,0,0,774.0096 
0,0,0,941.9362 
0,0,0,1405.2059 
1,1,0,1189.8245 
0,0,0,1077.0948 
0,0,0,894.2024 
0,0,0,740.8952 
0,0,0,981.812 
0,0,0,861.737 
0,0,0,1037.6077 
1,0,1,973.7565 
1,2,1,1117.4412 
0,1,1,837.1976 
0,1,1,1205.5245 
0,1,1,757.5658 
0,1,1,901.6367 
0,1,1,925.4488 
2,-1,1,1206.4417 
0,1,1,979.4055 
1,1,2,781.4075 
2,-1,2,1252.9238 
0,2,2,879.648 
0,2,2,1245.6367 
0,2,2,605.2748 
0,2,2,853.7156 
0,2,2,853.7003 
0,2,2,878.0396 
1,2,0,788.8368 
2,-1,0,1038.799 
2,-1,0,1160.0356 
1,1,0,1112.0686 
2,-1,0,1299.4963 
0,0,0,752.7916 
0,0,0,685.4057 
2,-1,0,1310.1808 
0,0,0,1117.7995 
0,0,0,974.0994 
0,0,0,724.4626 
0,0,0,997.8465 
2,-1,2,1343.7491 
1,0,2,1085.3323 
2,-1,2,1346.4986 
1,1,2,906.3457 
0,2,2,1132.8343 
0,2,2,828.9648 
0,2,2,918.2394 
0,2,2,812.6636 
0,2,2,797.2942 
0,2,2,1117.5637 
2,-1,0,1168.1064 
1,2,0,1036.314 
2,-1,0,1283.9755 
2,-1,0,1409.7548 
0,0,0,814.0442 
0,0,0,773.2269 
1,2,0,885.8119 
0,0,0,1077.1665 
0,0,0,1037.3033 
0,0,0,949.9276 
0,0,0,853.3404 
2,-1,0,1250.3257 
0,0,0,658.2697 
2,-1,0,1237.5996 
0,0,0,1141.6496 
1,0,2,741.6805 
1,0,2,781.3878 
0,2,2,876.8113 
1,0,2,932.9514 
0,2,2,917.1143 
0,2,2,805.2685 
0,2,2,925.5621 
0,2,2,749.2671 
1,0,2,765.3193 
1,0,2,1069.8159 
2,-1,2,1127.7913 
0,2,2,924.9396 
2,-1,2,1212.0099 
0,2,2,677.5908 
0,2,2,1005.5445 
0,2,2,861.3525 
0,2,2,1085.6075 
0,2,2,813.6803 
1,2,0,717.8811 
2,-1,0,1174.9244 
0,0,0,901.0346 
0,0,0,749.7719 
0,0,0,932.9031 
1,2,0,653.1904 
0,0,0,933.2489 
0,0,0,636.9868 
0,0,0,725.6103 
