,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
4,44.5,43.5,43.5,0.2715972689783749,0.255094729177071,0.016502539801303895,1.0,0.5
5,45.5,45.0,45.0,0.2721671894075087,0.26058874107132723,0.01157844833618149,0.5,1.5
6,49.5,48.75,48.75,0.26967805378684784,0.258110354500676,0.01156769928617185,0.75,3.5
7,87.0,86.0,86.0,0.277421160783902,0.2462624833733944,0.031158677410507596,1.0,0.5
8,89.25,87.75,87.75,0.27516234576359533,0.25412223040241994,0.021040115361175393,1.5,13.0
9,99.0,97.0,97.0,0.2886825424347191,0.2713774716039433,0.01730507083077576,2.0,0.5
10,100.25,99.75,99.75,0.28821343760052737,0.2757733011656991,0.012440136434828275,0.5,0.75
11,106.25,104.5,104.5,0.2649375410481302,0.24387115280238947,0.021066388245740753,1.75,6.5
12,142.25,141.5,141.5,0.2526930042312541,0.2423429190298458,0.010350085201408316,0.75,1.5
13,223.25,222.25,222.25,0.2532524656547044,0.22455283098045217,0.02869963467425221,1.0,23.5
14,240.5,239.5,239.5,0.26480995855113665,0.24451481748394216,0.02029514106719449,1.0,0.5
