G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
B_task2,A,83,0,74,79,100,64,6,1,3,4,5,2,1664,79.24
B_task2,B,50,50,50,50,50,50,6,1,3,4,5,2,1050,50.00
