G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
B_task1,A,69,0,57,67,81,40,6,1,2,4,5,3,1321,62.90
B_task1,B,50,50,50,50,50,50,6,1,2,4,5,3,1050,50.00
