G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
B_raadning,A,60,0,19,31,35,7,6,1,3,5,4,2,726,34.57
B_raadning,B,50,50,50,50,50,50,6,1,3,5,4,2,1050,50.00
