G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
B_task4,A,70,0,70,75,100,80,6,1,4,3,5,2,1585,75.48
B_task4,B,50,50,50,50,50,50,6,1,4,3,5,2,1050,50.00
