G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
e1,A,60,0,10,60,35,60,6,1,3,5,4,2,950,45.24
e1,B,50,50,50,50,50,50,6,1,3,5,4,2,1050,50.00
