G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
e3,A,65,0,10,70,80,35,6,1,2,3,5,4,1160,55.24
e3,B,50,50,50,50,50,50,6,1,2,3,5,4,1050,50.00
