G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
e2,A,80,0,90,85,70,80,6,1,5,2,3,4,1630,77.62
e2,B,50,50,50,50,50,50,6,1,5,2,3,4,1050,50.00
