,t,filtered_eda
0,0.0,1.4598176339780726
1,0.25,1.5003070855797929
2,0.5,1.5170919544560801
3,0.75,1.5132362886164887
4,1.0,1.5105848986971753
5,1.25,1.5090117655901785
6,1.5,1.5054256906620593
7,1.75,1.5076519114541191
8,2.0,1.519611254469736
9,2.25,1.5337830396183612
10,2.5,1.5353386446047692
11,2.75,1.5224485368841694
12,3.0,1.5192403336613072
13,3.25,1.538118057897918
14,3.5,1.5531223897689794
15,3.75,1.5465516309334362
16,4.0,1.537970303925238
17,4.25,1.5418923001163618
18,4.5,1.5467625548249475
19,4.75,1.5450504267594158
20,5.0,1.543458678674599
21,5.25,1.5456104095741654
22,5.5,1.548512517006833
23,5.75,1.5493422016192764
24,6.0,1.548133507184597
25,6.25,1.5480291559531798
26,6.5,1.5503247573405483
27,6.75,1.552104096952329
28,7.0,1.5531531652993689
29,7.25,1.5567679303064483
30,7.5,1.5622678856207741
31,7.75,1.5659009796468855
32,8.0,1.5676362274020887
33,8.25,1.5698019302026422
34,8.5,1.572591193884536
35,8.75,1.5753472780045499
36,9.0,1.5777465724316433
37,9.25,1.579263368506742
38,9.5,1.580768401953841
39,9.75,1.5830371495667925
40,10.0,1.5835062938101907
41,10.25,1.5806314250457723
42,10.5,1.5779498420718465
43,10.75,1.5772761948885865
44,11.0,1.5757685469196068
45,11.25,1.5743256224186766
46,11.5,1.576241811030805
47,11.75,1.5783433054801248
48,12.0,1.5776193084270835
49,12.25,1.5777893546843822
50,12.5,1.579494407834294
51,12.75,1.5787284685636986
52,13.0,1.576538820211413
53,13.25,1.5758644078389568
54,13.5,1.574923474750445
55,13.75,1.5729574225260963
56,14.0,1.5726604393698234
57,14.25,1.5736050321661599
58,14.5,1.5729661671472315
59,14.75,1.571462784112418
60,15.0,1.5710045407788256
61,15.25,1.5709568410448251
62,15.5,1.5704706987272714
63,15.75,1.5691638425118553
64,16.0,1.5668585804232675
65,16.25,1.5656592011294161
66,16.5,1.567214150261448
67,16.75,1.5692645978335147
68,17.0,1.5697613358661011
69,17.25,1.5690706705021389
70,17.5,1.5674515288421178
71,17.75,1.5664215219448319
72,18.0,1.5678252855601469
73,18.25,1.569395693635701
74,18.5,1.5686644546565829
75,18.75,1.5673889509155527
76,19.0,1.5673004215205484
77,19.25,1.56869757846065
78,19.5,1.5715684907094396
79,19.75,1.5725812349277566
80,20.0,1.5690760337602567
81,20.25,1.5659886652551236
82,20.5,1.5673048156684763
83,20.75,1.5680536562472929
84,21.0,1.5655882004172408
85,21.25,1.5646768608116455
86,21.5,1.5656241114150913
87,21.75,1.5643330353112936
88,22.0,1.5624495025771545
89,22.25,1.5633178938325636
90,22.5,1.5654053508711456
91,22.75,1.5669571302366372
92,23.0,1.5683787216327507
93,23.25,1.5698509271999612
94,23.5,1.5717435370814425
95,23.75,1.5731601276084015
96,24.0,1.5716788285286338
97,24.25,1.56921088807058
98,24.5,1.5699086455565745
99,24.75,1.571393250043826
100,25.0,1.5700189960789643
101,25.25,1.5693514708322265
102,25.5,1.5718746295805512
103,25.75,1.5733648934679814
104,26.0,1.572181313197759
105,26.25,1.5711389167631422
106,26.5,1.5708005661337847
107,26.75,1.5707011927590244
108,27.0,1.5707109976483973
109,27.25,1.5692760503231542
110,27.5,1.5675972604198058
111,27.75,1.5684440218705633
112,28.0,1.5691009554071051
113,28.25,1.5670885675258883
114,28.5,1.566495467044977
115,28.75,1.569279036926999
116,29.0,1.5711740510375285
117,29.25,1.570402456106906
118,29.5,1.5697764612655734
119,29.75,1.5700424227275116
120,30.0,1.569791968048969
121,30.25,1.5693958618730999
122,30.5,1.5691159005452382
123,30.75,1.5682018243031917
124,31.0,1.5677163977811304
125,31.25,1.56831727045521
126,31.5,1.5679636902949825
127,31.75,1.5660104108921307
128,32.0,1.563961371486092
129,32.25,1.5619176927683112
130,32.5,1.5597169619712457
131,32.75,1.558278388687306
132,33.0,1.5576211450605308
133,33.25,1.55763119814874
134,33.5,1.5583055073490608
135,33.75,1.558446927678098
136,34.0,1.5585975885305432
137,34.25,1.560131315604456
138,34.5,1.5602013200159655
139,34.75,1.5571243463229278
140,35.0,1.5557860468119966
141,35.25,1.5579204379226304
142,35.5,1.5582230459370607
143,35.75,1.55663653757662
144,36.0,1.558075631374623
145,36.25,1.5598411129847711
146,36.5,1.557491664160948
147,36.75,1.554905665706461
148,37.0,1.5555696180715315
149,37.25,1.556770989812486
150,37.5,1.5558046792913698
151,37.75,1.552616784292329
152,38.0,1.5492676333083137
153,38.25,1.5483104267188434
154,38.5,1.548590985031891
155,38.75,1.5474127412474932
156,39.0,1.5465421927744014
157,39.25,1.548018600811094
158,39.5,1.5487574726163358
159,39.75,1.5472114648563438
160,40.0,1.5464538533073577
161,40.25,1.546877380150795
162,40.5,1.546639434393192
163,40.75,1.5462540852841655
164,41.0,1.5450258607725174
165,41.25,1.5424044383123088
166,41.5,1.5424514657285222
167,41.75,1.5460957278954375
168,42.0,1.5482996311291732
169,42.25,1.548099537048282
170,42.5,1.5480540622486585
171,42.75,1.5475716356339186
172,43.0,1.5467332806403105
173,43.25,1.54677932961611
174,43.5,1.545756712798457
175,43.75,1.5432511387332961
176,44.0,1.5422542398626646
177,44.25,1.5426884752676329
178,44.5,1.542429525846086
179,44.75,1.5418203908002912
180,45.0,1.5410249444050736
181,45.25,1.5391536233992533
182,45.5,1.537777467946933
183,45.75,1.5383881503264543
184,46.0,1.538966142480673
185,46.25,1.5383452908343878
186,46.5,1.5373114659412246
187,46.75,1.535505458566054
188,47.0,1.5342335541112653
189,47.25,1.5356151611294233
190,47.5,1.5370874949076665
191,47.75,1.536177687891432
192,48.0,1.5355189019461344
193,48.25,1.5362212822181036
194,48.5,1.5360830371170822
195,48.75,1.5360948056115877
196,49.0,1.5377751256677632
197,49.25,1.537592920485455
198,49.5,1.5337620056958852
199,49.75,1.53076453171471
200,50.0,1.5312709125583188
201,50.25,1.5329091938842345
202,50.5,1.5331402312263518
203,50.75,1.5316605302083774
204,51.0,1.530538552616036
205,51.25,1.5310461906316999
206,51.5,1.530932215203451
207,51.75,1.5292045956668447
208,52.0,1.527985874160412
209,52.25,1.527292498699174
210,52.5,1.525837915752279
