,t,filtered_eda
0,0.0,1.360885688034836
1,0.25,1.3574481308484048
2,0.5,1.3517407835903645
3,0.75,1.348837995704721
4,1.0,1.3512745420036711
5,1.25,1.3574322122939109
6,1.5,1.362702399066283
7,1.75,1.366541739610636
8,2.0,1.377344235971192
9,2.25,1.4054228071878894
10,2.5,1.4455140370364914
11,2.75,1.4714261886394662
12,3.0,1.4600437898828593
13,3.25,1.4135800271276566
14,3.5,1.3598935799912137
15,3.75,1.3373384226704592
16,4.0,1.3639279419789516
17,4.25,1.4214688172649264
18,4.5,1.4667537489143483
19,4.75,1.459844674187401
20,5.0,1.4135067897652864
21,5.25,1.3863941815806369
22,5.5,1.3947511160366795
23,5.75,1.3966806387258917
24,6.0,1.3754979820810054
25,6.25,1.3600216031729264
26,6.5,1.366342892787857
27,6.75,1.3787450318993442
28,7.0,1.3824842967598898
29,7.25,1.382459654937005
30,7.5,1.3884669725685614
31,7.75,1.4040301684854712
32,8.0,1.4360124238263214
33,8.25,1.4853592484761649
34,8.5,1.5257964236592487
35,8.75,1.5329823742066728
36,9.0,1.5202680472224412
37,9.25,1.5068764406877835
38,9.5,1.4871006615134705
39,9.75,1.4579017493537263
40,10.0,1.4415692252411356
41,10.25,1.4617585913420268
42,10.5,1.5051425830220273
43,10.75,1.5302476765729058
44,11.0,1.5260050117687072
45,11.25,1.5234567162336812
46,11.5,1.539423668165879
47,11.75,1.55506546191569
48,12.0,1.5541191957904317
49,12.25,1.5440149691023242
50,12.5,1.537161521961139
51,12.75,1.5353151189455696
52,13.0,1.5322662482974323
53,13.25,1.5173542554157382
54,13.5,1.4823862619922266
55,13.75,1.4413245210297727
56,14.0,1.4307611010428471
57,14.25,1.4650447570417737
58,14.5,1.5074475865919175
59,14.75,1.5177226798916785
60,15.0,1.504781203092792
61,15.25,1.4984595382205774
62,15.5,1.500843365033747
63,15.75,1.4992005082216604
64,16.0,1.4944872502194766
65,16.25,1.4926321903237596
66,16.5,1.493251819473595
67,16.75,1.494586108220772
68,17.0,1.494591881420757
69,17.25,1.4919558325737585
70,17.5,1.489684832743146
71,17.75,1.4910770709974699
72,18.0,1.4945449742956314
73,18.25,1.4948248526561032
74,18.5,1.4893039605489133
75,18.75,1.4824859964713095
76,19.0,1.4792269397003603
77,19.25,1.478591026820049
78,19.5,1.480083469615694
79,19.75,1.4839784132222695
80,20.0,1.4851090116603625
81,20.25,1.4807827449884243
82,20.5,1.473555663594658
83,20.75,1.4569309127038657
84,21.0,1.423352550292975
85,21.25,1.3858143629486126
86,21.5,1.364183823639424
87,21.75,1.3620944567030215
88,22.0,1.3727278076747915
89,22.25,1.3891341136833077
90,22.5,1.4053234271468389
91,22.75,1.4192026689837396
92,23.0,1.431224525099819
93,23.25,1.438704385002804
94,23.5,1.4387800391969885
95,23.75,1.4336745368704569
96,24.0,1.425784570856666
97,24.25,1.4156107478031266
98,24.5,1.412146572541907
99,24.75,1.426182894451001
100,25.0,1.4455292047038166
101,25.25,1.4482338706901694
102,25.5,1.4390142238897217
103,25.75,1.4368572905776325
104,26.0,1.441483930168217
105,26.25,1.442022763644515
106,26.5,1.4388614790480732
107,26.75,1.4380989336888017
