,task1,task2,task3,task4
correct,0.708333333,0.647058824,0.729166667,0.609375
error,0.291666667,0.352941176,0.270833333,0.390625
CA,11,6,10,5
PE,0.010416667,0.117647059,0.041666667,0.109375
NPE,0.28125,0.235294118,0.229166667,0.28125
PEm,0.166666667,0.264705882,0.145833333,0.203125
NPEm,0.125,0.088235294,0.125,0.1875
DMS,0.010416667,0.029411765,0.020833333,0.03125
TO,0,28,0,32
RT,1121.465783,895.1110042,969.3313292,786.736776
