,LPS,CSI,HR,SDNN,pNN50,RMSSD,CVRR,HF,LF,LF/HF
reading,3000.062712926915,3.9593922612031838,75.70000314048161,47.43823947234141,0.19086257309941507,37.333400060481644,0.08080309706486499,168.51344691591552,347.7673094793007,2.0637362527681775
u-kt,858.1035365311665,3.2552995869174994,83.50354048286252,23.9539361404768,0.01690140845070419,22.35769908779923,0.0427879805106802,37.66550287516227,102.46828095579804,2.720480894557991
