,pNN50,RMSSD,SDNN,correct,error,PE,NPE,PEm,NPEm,DMS
9,0.31666666666666665,46.753024412085495,77.60683489786018,0.7885109349184578,0.21148906508154236,-5.383716146743183e-08,0.7885109349184578,0.7885109349184578,0.7885109349184578,0.7885109349184578
10,0.31666666666666665,46.738297724380416,72.88888730525342,0.7757923393897489,0.22420766061025144,-6.222155549638412e-08,0.7757923393897489,0.7757923393897489,0.7757923393897489,0.7757923393897489
11,0.31666666666666665,46.55634559628577,68.69954815893873,0.7684017730238616,0.23159822697613847,-2.0790710435482466e-08,0.7684017730238616,0.7684017730238616,0.7684017730238616,0.7684017730238616
12,0.31666666666666665,46.36702132137432,66.00497529573202,0.7653748463500165,0.2346251536499836,2.351930126263073e-08,0.7653748463500165,0.7653748463500165,0.7653748463500165,0.7653748463500165
13,0.31666666666666665,46.331762302457825,64.4336789909434,0.7657471698974333,0.23425283010256698,2.377240714531323e-08,0.7657471698974333,0.7657471698974333,0.7657471698974333,0.7657471698974333
14,0.3,45.77866782011244,63.649812656178426,0.7683290964887531,0.23167090351124697,-5.5100739956167654e-08,0.7683290964887531,0.7683290964887531,0.7683290964887531,0.7683290964887531
15,0.2833333333333333,45.09323282703806,63.69429118639369,0.76837947199817,0.23162052800183006,-6.107374721884166e-08,0.76837947199817,0.76837947199817,0.76837947199817,0.76837947199817
16,0.2833333333333333,45.110310161173224,63.44038324451348,0.7592512318500063,0.24074876814999363,2.4940374841836804e-07,0.7592512318500063,0.7592512318500063,0.7592512318500063,0.7592512318500063
17,0.2833333333333333,45.28610380609938,63.58081599507292,0.7442629892532825,0.25573701074671745,4.983134153741158e-07,0.7442629892532825,0.7442629892532825,0.7442629892532825,0.7442629892532825
18,0.2833333333333333,45.494562523420306,63.527957498173706,0.7328979290406624,0.26710207095933736,-7.625740627530143e-08,0.7328979290406624,0.7328979290406624,0.7328979290406624,0.7328979290406624
19,0.2833333333333333,45.51339028896375,63.525228854278865,0.7311504661722259,0.26884953382777393,-1.431056054960572e-06,0.7311504661722259,0.7311504661722259,0.7311504661722259,0.7311504661722259
20,0.26666666666666666,44.912970157591744,63.56963774182327,0.7331972734698525,0.26680272653014736,-8.452419372741269e-07,0.7331972734698525,0.7331972734698525,0.7331972734698525,0.7331972734698525
21,0.26666666666666666,45.12385555390307,63.54807097548052,0.7320353314636268,0.2679646685363731,3.7164405521362675e-06,0.7320353314636268,0.7320353314636268,0.7320353314636268,0.7320353314636268
22,0.26666666666666666,45.414248554764406,64.2237306004434,0.7317074290294112,0.26829257097058884,3.4105684335497745e-06,0.7317074290294112,0.7317074290294112,0.7317074290294112,0.7317074290294112
23,0.2833333333333333,46.37120379554102,63.94423283926465,0.7411195217043947,0.25888047829560545,-1.2400627584644695e-05,0.7411195217043947,0.7411195217043947,0.7411195217043947,0.7411195217043947
24,0.2833333333333333,46.39453481940213,63.835012666243735,0.7597672327935395,0.2402327672064608,-1.2546659356454277e-05,0.7597672327935395,0.7597672327935395,0.7597672327935395,0.7597672327935395
25,0.2833333333333333,46.43694065552966,63.825160863716334,0.7812275129492117,0.21877248705078867,4.495236610495124e-05,0.7812275129492117,0.7812275129492117,0.7812275129492117,0.7812275129492117
26,0.2833333333333333,46.110034549141716,63.82704281547921,0.7977000046100374,0.20229999538996277,3.754201078743682e-05,0.7977000046100374,0.7977000046100374,0.7977000046100374,0.7977000046100374
27,0.2833333333333333,46.133297756026295,63.51054084320121,0.8020753878560216,0.1979246121439786,-0.0001805206724085113,0.8020753878560216,0.8020753878560216,0.8020753878560216,0.8020753878560216
28,0.2833333333333333,46.16245006268428,62.900866164021735,0.8000836736357205,0.19991632636427947,-7.339767286185413e-05,0.8000836736357205,0.8000836736357205,0.8000836736357205,0.8000836736357205
29,0.2833333333333333,46.25863260442356,62.558711106362594,0.8013399091680344,0.19866009083196576,0.0007803580308348343,0.8013399091680344,0.8013399091680344,0.8013399091680344,0.8013399091680344
30,0.2833333333333333,46.304000570493145,62.45879990341036,0.8004378968727857,0.1995621031272145,0.00018379891763280632,0.8004378968727857,0.8004378968727857,0.8004378968727857,0.8004378968727857
31,0.2833333333333333,46.440303107712666,62.78712102058028,0.7891147750229048,0.21088522497709525,-0.003238198401369966,0.7891147750229048,0.7891147750229048,0.7891147750229048,0.7891147750229048
32,0.2833333333333333,46.000974871066,63.39192325421738,0.7712987531625567,0.22870124683744308,-0.0021778260723700716,0.7712987531625567,0.7712987531625567,0.7712987531625567,0.7712987531625567
33,0.2833333333333333,45.60103726665456,63.776311418561676,0.753997563727501,0.24600243627249868,0.011517357232879385,0.753997563727501,0.753997563727501,0.753997563727501,0.753997563727501
34,0.26666666666666666,44.84763029091656,63.17445159227918,0.737980760127703,0.26201923987229725,0.02967765258712754,0.737980760127703,0.737980760127703,0.737980760127703,0.737980760127703
35,0.26666666666666666,44.644417486095676,63.17636865262727,0.7212016852838528,0.2787983147161473,0.03727025070679933,0.7212016852838528,0.7212016852838528,0.7212016852838528,0.7212016852838528
36,0.2833333333333333,45.48722348085319,63.4755398218568,0.7057752914163371,0.29422470858366295,0.03506646704140656,0.7057752914163371,0.7057752914163371,0.7057752914163371,0.7057752914163371
37,0.2833333333333333,45.586750073357905,64.52095566015174,0.6961524898032904,0.3038475101967095,0.03251770440910165,0.6961524898032904,0.6961524898032904,0.6961524898032904,0.6961524898032904
38,0.2833333333333333,45.56289589690184,65.17730118619725,0.6961960448582084,0.3038039551417914,0.03293838464827956,0.6961960448582084,0.6961960448582084,0.6961960448582084,0.6961960448582084
