,t,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,CVI,SCL,EDA,correct,error,PE,NPE,PEm,NPEm,DMS
33,63,0.36666666666666664,58.266341545190826,0.13061679516563493,87.94023830600237,67.04493296043209,9808.635220988386,4.556405928776262,3.4944587109113736,0.7491975206158126,0.7322445156691371,0.7559359681414421,0.24406403185855832,0.07950052621879884,0.7559359681414421,0.7559359681414421,0.7559359681414421,0.7559359681414421
34,64,0.4,58.90849309143479,0.13063503278846053,87.8593143717417,67.05508051558546,9762.520520192984,4.514160026747473,3.492412087051373,0.7480850072891992,0.7327504569178398,0.7649648458584043,0.23503515414159584,0.07730349112789092,0.7649648458584043,0.7649648458584043,0.7649648458584043,0.7649648458584043
35,65,0.36666666666666664,57.47992198429804,0.1273860913917823,86.90313462131378,65.89007786707062,9634.340679086188,4.30872473918737,3.4866721266053617,0.7469938724106503,0.7337615725659941,0.7751435178398464,0.22485648216015353,0.07541385362100586,0.7751435178398464,0.7751435178398464,0.7751435178398464,0.7751435178398464
36,66,0.3333333333333333,56.038543578399974,0.11942240407212237,82.57650633914761,63.395734974722224,9289.624892781087,4.163753974103046,3.470848305208628,0.7460358333961971,0.7355228017893649,0.7850797738530352,0.21492022614696482,0.07170378294512583,0.7850797738530352,0.7850797738530352,0.7850797738530352,0.7850797738530352
37,67,0.3,53.74117117574306,0.11624601683429918,81.49508230554837,62.07654987177937,8955.765847907121,4.296410720779009,3.4549528575577417,0.7451620934722669,0.7353310878384083,0.7860067290623175,0.2139932709376825,0.07117801569514734,0.7860067290623175,0.7860067290623175,0.7860067290623175,0.7860067290623175
38,68,0.3,53.84330778102626,0.11756074474880748,82.08031616645192,62.059709573745536,8942.998048413618,4.351632214122527,3.4543332632842256,0.744318678558938,0.7353047892851414,0.7854849830251778,0.2145150169748225,0.07149690114582337,0.7854849830251778,0.7854849830251778,0.7854849830251778,0.7854849830251778
39,69,0.3,53.692799997602854,0.11948629461834234,82.64631187598935,60.098704777425056,9158.139087014932,4.31724324493473,3.464657362289682,0.743521619640809,0.7375701680683292,0.793279309809744,0.2067206901902561,0.06893856708256796,0.793279309809744,0.793279309809744,0.793279309809744,0.793279309809744
40,70,0.26666666666666666,51.96649802372531,0.12083407367112704,83.96698953499177,59.831181749684006,9062.369002242882,4.457770402943511,3.4600918691454137,0.7428950153368364,0.7474099834403224,0.8009380305646001,0.19906196943540008,0.06634823624095466,0.8009380305646001,0.8009380305646001,0.8009380305646001,0.8009380305646001
41,71,0.26666666666666666,51.95240201173003,0.12485821767278134,84.4202566110139,66.36198224964748,9149.731235422492,4.475131113978957,3.4642584645758947,0.7425750888500009,0.749829431637875,0.8010004564521951,0.19899954354780475,0.06632609189873818,0.8010004564521951,0.8010004564521951,0.8010004564521951,0.8010004564521951
42,72,0.26666666666666666,54.031917160401065,0.12898394679398104,83.68566622290855,74.16786620074011,9532.3875281704,4.289378542602206,3.4820518170781543,0.7423651163753611,0.7457628474179671,0.7999105039040726,0.20008949609592735,0.06669901698987796,0.7999105039040726,0.7999105039040726,0.7999105039040726,0.7999105039040726
43,73,0.26666666666666666,55.683650006365575,0.12871483099002415,86.17413020351668,70.55755759585003,9927.13126433187,4.199223287106452,3.499673891806325,0.7420569492922794,0.7436501822166789,0.8006035175213854,0.19939648247861452,0.06646746690481266,0.8006035175213854,0.8006035175213854,0.8006035175213854,0.8006035175213854
44,74,0.26666666666666666,56.14063641206321,0.1261393272425852,86.33603700437742,67.89867447258327,9935.907200649179,4.264805632308814,3.500057653935252,0.741663376725114,0.7402886330359165,0.7989364797614349,0.2010635202385652,0.06702081494883784,0.7989364797614349,0.7989364797614349,0.7989364797614349,0.7989364797614349
45,75,0.23333333333333334,55.237577497205436,0.12240475955983596,85.26797849979998,66.66131324220285,9606.74218625327,4.170557491843623,3.4854262631111026,0.741137373570162,0.7410126089390807,0.7926899769522606,0.2073100230477392,0.0691035823838849,0.7926899769522606,0.7926899769522606,0.7926899769522606,0.7926899769522606
46,76,0.23333333333333334,54.8050568926554,0.11440218176214087,80.89496812829898,70.0520383451995,8876.824663135323,3.806507978872546,3.451107768997039,0.7406636390532159,0.741012457366879,0.7834910590255607,0.21650894097443943,0.07216910387073579,0.7834910590255607,0.7834910590255607,0.7834910590255607,0.7834910590255607
47,77,0.2,53.99246428609543,0.10203069300478436,73.11023449352199,66.92762077853892,8015.898877922667,3.5000611245196684,3.406802357156732,0.7402827067708965,0.7378558074383986,0.7741236457631229,0.2258763542368773,0.0752888423885326,0.7741236457631229,0.7741236457631229,0.7741236457631229,0.7741236457631229
48,78,0.16666666666666666,44.40475897839992,0.09451176843080704,68.8526820343565,61.47577078360844,6023.868838681435,4.580814151961778,3.282725634446547,0.739968230991262,0.7341284705501012,0.7690658428639042,0.23093415713609583,0.0769790075764699,0.7690658428639042,0.7690658428639042,0.7690658428639042,0.7690658428639042
49,79,0.2,46.25496505996719,0.09497817409187992,70.08752226889068,61.92195983439108,6235.4935046859655,4.377447811711974,3.2977209584773344,0.739529251722932,0.7311231762474529,0.7700692202347958,0.22993077976520404,0.07665656425935895,0.7700692202347958,0.7700692202347958,0.7700692202347958,0.7700692202347958
