,t,filtered_eda
0,0.0,1.6719276785247965
1,0.25,1.6687310759577896
2,0.5,1.6675750924695079
3,0.75,1.665524373083863
4,1.0,1.6643759140225927
5,1.25,1.6630117748056052
6,1.5,1.6564298862211841
7,1.75,1.6471255789259016
8,2.0,1.6427673815305097
9,2.25,1.64217526838835
10,2.5,1.6390791374380487
11,2.75,1.634087242042241
12,3.0,1.6303381215945552
13,3.25,1.6268359471595137
14,3.5,1.6228214945284218
15,3.75,1.6193649973403064
16,4.0,1.6157577055434966
17,4.25,1.6108361814934617
18,4.5,1.6059711052072085
19,4.75,1.602989697925187
20,5.0,1.6008604123301597
21,5.25,1.597476100611288
22,5.5,1.593346019733227
23,5.75,1.5895675317396925
24,6.0,1.584657863883845
25,6.25,1.5783102337557544
26,6.5,1.5729915419732685
27,6.75,1.568225859608735
28,7.0,1.5623976902883876
29,7.25,1.5587345545118259
30,7.5,1.5592724545276937
31,7.75,1.5603023116872454
32,8.0,1.5599480178850058
33,8.25,1.5594998607524357
34,8.5,1.5564473100498162
35,8.75,1.548623501130406
36,9.0,1.5419174448484343
37,9.25,1.5408772802547723
38,9.5,1.5399509495318602
39,9.75,1.5351604666639944
40,10.0,1.5318591384507922
41,10.25,1.5333279690042354
42,10.5,1.534388389379253
43,10.75,1.5310191641265607
44,11.0,1.525931571421541
45,11.25,1.5215574269288894
46,11.5,1.517617797922747
47,11.75,1.5156376067322073
48,12.0,1.5151691095822886
49,12.25,1.5114580248366247
50,12.5,1.504532931182022
51,12.75,1.499958649309364
52,13.0,1.4982831417631086
53,13.25,1.494960938544282
54,13.5,1.4898463110722837
55,13.75,1.4869967761962013
56,14.0,1.4863387625225348
57,14.25,1.484540528291626
58,14.5,1.4819274334068449
59,14.75,1.4795722700398415
60,15.0,1.4755141474459001
61,15.25,1.470679567703744
62,15.5,1.4686602865520193
63,15.75,1.467862703459736
64,16.0,1.4646325264196822
65,16.25,1.4606715929189418
66,16.5,1.4577563547958694
67,16.75,1.452800621075276
68,17.0,1.4465064254232733
69,17.25,1.445131047857046
70,17.5,1.447454179978918
71,17.75,1.445828012340688
72,18.0,1.4411893211982587
73,18.25,1.4391164010144275
74,18.5,1.438058809451982
75,18.75,1.4373129287442712
76,19.0,1.4414509233666917
77,19.25,1.4471424595244906
78,19.5,1.4451362379853683
79,19.75,1.4369617888740818
80,20.0,1.4319812364866396
81,20.25,1.4319037816618476
82,20.5,1.4311116505634145
83,20.75,1.4274220631837835
84,21.0,1.4229246447469905
85,21.25,1.4185010817508343
86,21.5,1.4146292146210036
87,21.75,1.4126309302219626
88,22.0,1.4112752410939862
89,22.25,1.407916943250668
90,22.5,1.4031738688268292
91,22.75,1.3988507266497432
92,23.0,1.394962909362801
93,23.25,1.3925440861573022
94,23.5,1.3922942588914688
95,23.75,1.390684639949898
96,24.0,1.3857151380688735
97,24.25,1.3813899281327178
98,24.5,1.3798840255622182
99,24.75,1.3781811804495332
100,25.0,1.3753532688422987
101,25.25,1.3734935714524803
102,25.5,1.3722569846266577
103,25.75,1.370079762398232
104,26.0,1.3672998480990428
105,26.25,1.3638439750627713
106,26.5,1.359314504129835
107,26.75,1.3557393881675124
108,27.0,1.3541634228660666
109,27.25,1.3521558953985058
110,27.5,1.3490094811700206
111,27.75,1.3462185942837885
112,28.0,1.342684637489955
113,28.25,1.3380697884927697
114,28.5,1.335342010891408
115,28.75,1.3338883052814587
116,29.0,1.3298603451840698
117,29.25,1.3244089608577787
118,29.5,1.3214975432189093
119,29.75,1.3207021222964757
120,30.0,1.3195913613333032
121,30.25,1.3176253438719254
122,30.5,1.3140937115465086
123,30.75,1.3090239974551694
124,31.0,1.3057755352900746
125,31.25,1.3057140997780607
126,31.5,1.3041806541694156
127,31.75,1.298549372334561
128,32.0,1.2938163237188502
129,32.25,1.293801186753579
130,32.5,1.2943139267014754
131,32.75,1.2907137221475609
132,33.0,1.2851732048081526
133,33.25,1.2814338388842397
134,33.5,1.278826396057847
135,33.75,1.275239519129636
136,34.0,1.270502604102167
137,34.25,1.266218210191311
138,34.5,1.2648993804598665
139,34.75,1.2659867008782286
140,35.0,1.2647182357145963
141,35.25,1.2599386015090595
142,35.5,1.2563507575018624
143,35.75,1.2553264212626951
144,36.0,1.252663625994085
145,36.25,1.2474903487361955
146,36.5,1.2441004233075044
147,36.75,1.2435108914206583
148,37.0,1.2422211766610314
149,37.25,1.2394327325608676
150,37.5,1.2369208607078628
151,37.75,1.2343905293415864
152,38.0,1.23152101026361
153,38.25,1.2292203050663975
154,38.5,1.2263074500539304
155,38.75,1.2222235139649305
156,39.0,1.2198989428141263
157,39.25,1.2191637418048362
158,39.5,1.2159276204261507
