,t,filtered_eda
0,0.0,0.12863261120686792
1,0.25,0.12866922609630999
2,0.5,0.1280231840089451
3,0.75,0.1272695027786863
4,1.0,0.1277406037269826
5,1.25,0.12929830515441168
6,1.5,0.13025336077678418
7,1.75,0.12971432001913605
8,2.0,0.1287448437542225
9,2.25,0.12872900677392476
10,2.5,0.12949284906882305
11,2.75,0.12932995678235337
12,3.0,0.1278178583312009
13,3.25,0.1271778985019185
14,3.5,0.1282284414703326
15,3.75,0.1291839539334062
16,4.0,0.12941435862826572
17,4.25,0.12965640931425393
18,4.5,0.1300607033392006
19,4.75,0.13005709435492316
20,5.0,0.12924709895997255
21,5.25,0.12842430503201774
22,5.5,0.1287120500668519
23,5.75,0.12997767470291308
24,6.0,0.13112600041194855
25,6.25,0.1314527034416925
26,6.5,0.13118292854357352
27,6.75,0.13077005483305176
28,7.0,0.1305384269852824
29,7.25,0.13051095561864445
30,7.5,0.1303344559936005
31,7.75,0.13023968005103304
32,8.0,0.13063513106448107
33,8.25,0.130832093693711
34,8.5,0.13025323394119892
35,8.75,0.13006613285107663
36,9.0,0.13142553206205587
37,9.25,0.132886040770575
38,9.5,0.1326659915625264
39,9.75,0.13202186141681851
40,10.0,0.13276200253338616
41,10.25,0.1337651375057674
42,10.5,0.13283507371907774
43,10.75,0.1303413070752829
44,11.0,0.12892712644831947
45,11.25,0.13004488711274256
46,11.5,0.13227812480008444
47,11.75,0.13299473252125626
48,12.0,0.1318619963497196
49,12.25,0.13148107149709531
50,12.5,0.13254757552513344
51,12.75,0.13274872104019164
52,13.0,0.1317301974973881
53,13.25,0.13128565187675867
54,13.5,0.13146546054237152
55,13.75,0.13092414612439915
56,14.0,0.13019060407332908
57,14.25,0.13103170751559143
58,14.5,0.13256856655625796
59,14.75,0.13267483823241383
60,15.0,0.13201295544277397
61,15.25,0.1321692962812927
62,15.5,0.13270566359402702
63,15.75,0.13253303705702152
64,16.0,0.13175672643556455
65,16.25,0.1310455069685519
66,16.5,0.13089831046533576
67,16.75,0.13189960945314938
68,17.0,0.1333892909306062
69,17.25,0.13340371568744117
70,17.5,0.13219787476862338
71,17.75,0.13213309547513705
72,18.0,0.13342279362563772
73,18.25,0.13407175617005543
74,18.5,0.1334571462377627
75,18.75,0.13291428234401756
76,19.0,0.13316405434079248
77,19.25,0.13333646733998075
78,19.5,0.1328743010961167
79,19.75,0.13293073824379353
80,20.0,0.13429206285609838
81,20.25,0.13512623231146884
82,20.5,0.13388390568241856
83,20.75,0.1324053787757295
84,21.0,0.13304877805619222
85,21.25,0.13502117725590448
86,21.5,0.13542698687425325
87,21.75,0.13331289834133925
88,22.0,0.1310581814371171
89,22.25,0.13100210882319402
90,22.5,0.1328135892749325
91,22.75,0.1345228011237623
92,23.0,0.13498930638677323
93,23.25,0.13499224422718772
94,23.5,0.13506939187653658
95,23.75,0.13449868020723033
96,24.0,0.13367957907860428
97,24.25,0.13397325299214694
98,24.5,0.13482600503665756
99,24.75,0.13426564723180942
100,25.0,0.13262080827404304
101,25.25,0.132485846838006
102,25.5,0.13415694791575666
103,25.75,0.13535620871687948
104,26.0,0.13520113755575364
105,26.25,0.13438138332565386
106,26.5,0.13418367847675308
107,26.75,0.1367333651406528
108,27.0,0.14045259866423673
109,27.25,0.13922131342350544
110,27.5,0.13349387875428367
111,27.75,0.13129034445424173
112,28.0,0.1336284505021792
113,28.25,0.1345515957198487
114,28.5,0.13366052643032922
115,28.75,0.13455175046501427
116,29.0,0.13660938706499626
117,29.25,0.13673743216790968
118,29.5,0.13487502687261413
119,29.75,0.13379742243472142
120,30.0,0.13479485104404995
121,30.25,0.13614666190088537
122,30.5,0.13595684464404828
123,30.75,0.13482240817115915
124,31.0,0.1344811331752496
125,31.25,0.1348537045263299
126,31.5,0.13514797265061618
127,31.75,0.1356514916184131
128,32.0,0.13629575370281227
129,32.25,0.13656482914523566
130,32.5,0.13647858607686372
131,32.75,0.13614489764284712
132,33.0,0.13548732427087795
133,33.25,0.13466914506777458
134,33.5,0.13454942179113996
135,33.75,0.13549220992125086
136,34.0,0.13641638890700533
137,34.25,0.1364735205408407
138,34.5,0.1358947834611065
139,34.75,0.13533261313497852
140,35.0,0.13537717347730102
141,35.25,0.13593299998216188
142,35.5,0.1360046979017432
143,35.75,0.1348723018320717
144,36.0,0.13380968941098195
145,36.25,0.13429284079442882
146,36.5,0.1352322622527952
147,36.75,0.1355303832766713
148,37.0,0.1362122660295531
149,37.25,0.1375525905005536
150,37.5,0.13781254418823646
151,37.75,0.13627035621025924
152,38.0,0.13478229020474447
153,38.25,0.13487272585463989
