,t,filtered_eda
0,0.0,0.10657263619520575
1,0.25,0.10542755103778638
2,0.5,0.10448259135817917
3,0.75,0.1045149267215566
4,1.0,0.10373754068678895
5,1.25,0.10141472110293509
6,1.5,0.09993175320432296
7,1.75,0.10079294743402659
8,2.0,0.10211357475482738
9,2.25,0.10203534187890553
10,2.5,0.10101097329537437
11,2.75,0.10047179224493816
12,3.0,0.1015203519223833
13,3.25,0.10382673590259027
14,3.5,0.10538291809311541
15,3.75,0.1048308050727981
16,4.0,0.10358371675480617
17,4.25,0.10387253449958778
18,4.5,0.10525195698087161
19,4.75,0.10564073245464095
20,5.0,0.10490407265194755
21,5.25,0.10423599637266817
22,5.5,0.1035438939001404
23,5.75,0.1022551916500358
24,6.0,0.10111225736435549
25,6.25,0.10108706420271202
26,6.5,0.10157908012677877
27,6.75,0.10173426355735721
28,7.0,0.10250032291348145
29,7.25,0.10456693155104105
30,7.5,0.10615025197830498
31,7.75,0.10564391765186318
32,8.0,0.10412495742764644
33,8.25,0.10358670687249967
34,8.5,0.10425777868251501
35,8.75,0.10489742100240389
36,9.0,0.10489513784556946
37,9.25,0.10397926936085977
38,9.5,0.10184764500126042
39,9.75,0.1000936126105722
40,10.0,0.10056514842627601
41,10.25,0.10199757596443812
42,10.5,0.10222313152791467
43,10.75,0.10154871399141484
44,11.0,0.10185289668365964
45,11.25,0.10395805842534787
46,11.5,0.10638948902176641
47,11.75,0.10712190358503551
48,12.0,0.10637617414043962
49,12.25,0.10586253850481572
50,12.5,0.10586131511420532
51,12.75,0.10540204156482758
52,13.0,0.10449770320482803
53,13.25,0.10400581532002655
54,13.5,0.10383491151714858
55,13.75,0.10322541449080916
56,14.0,0.1026402550817481
57,14.25,0.10305374493294975
58,14.5,0.10343398339702695
59,14.75,0.10205671140648029
60,15.0,0.10042872103080511
61,15.25,0.10195428670960333
62,15.5,0.10593931481938411
63,15.75,0.10788952102197309
64,16.0,0.1065378395074145
65,16.25,0.10474415447519209
66,16.5,0.10409351305710045
67,16.75,0.10417434661589739
68,17.0,0.10479705226628071
69,17.25,0.10491348012257662
70,17.5,0.10300025972776841
71,17.75,0.10062321020334627
72,18.0,0.10085374093641084
73,18.25,0.10275846856627924
74,18.5,0.1029895395589879
75,18.75,0.10164526970659396
76,19.0,0.10135102616377054
77,19.25,0.1027049638546953
78,19.5,0.10423064795136612
79,19.75,0.1047323790919332
80,20.0,0.10412023796338082
81,20.25,0.10338882089942326
82,20.5,0.10389440834193933
83,20.75,0.10541166449437002
84,21.0,0.10600457222540487
85,21.25,0.10521948550579374
86,21.5,0.10481574047543463
87,21.75,0.10509325078147659
88,22.0,0.1042340987876999
89,22.25,0.10214131392070289
90,22.5,0.10108543110821153
91,22.75,0.10178709138007422
92,23.0,0.10216570844582276
93,23.25,0.10116194796443428
94,23.5,0.10098117143945849
95,23.75,0.10340334757459932
96,24.0,0.1062010587708829
97,24.25,0.10648054085070617
98,24.5,0.10546220224198977
99,24.75,0.10575875920042098
100,25.0,0.10672123699284258
101,25.25,0.10665305065189304
102,25.5,0.10596489304432492
103,25.75,0.10545060315943552
104,26.0,0.1050214378904155
105,26.25,0.10467481411004383
106,26.5,0.10430881907534197
107,26.75,0.10374561113531933
108,27.0,0.1033927879819369
109,27.25,0.10329552563969002
110,27.5,0.10299845795890442
111,27.75,0.10302383462959624
112,28.0,0.10404310301715902
113,28.25,0.10511435888990629
114,28.5,0.10502622681687393
115,28.75,0.1044814784419522
116,29.0,0.10508907712207423
117,29.25,0.10638873253768447
118,29.5,0.10621162672584465
119,29.75,0.1046073022645866
120,30.0,0.10387419468895875
121,30.25,0.10414181177287737
122,30.5,0.10353414875121603
123,30.75,0.102372178805241
124,31.0,0.10205440034914191
125,31.25,0.10169413886463724
126,31.5,0.1007802408965422
127,31.75,0.10147891446861927
128,32.0,0.10430648490859844
129,32.25,0.1061825272011108
130,32.5,0.10545639649580897
131,32.75,0.10416143425379304
132,33.0,0.10412572018256695
133,33.25,0.10470620996914737
134,33.5,0.10443120153454302
135,33.75,0.10291856755416537
136,34.0,0.1012692460819554
137,34.25,0.10077536425564032
138,34.5,0.10149754517982233
139,34.75,0.10257087817437374
140,35.0,0.10369275100318653
141,35.25,0.10554198591435109
142,35.5,0.10810424323398471
143,35.75,0.10971301624033425
144,36.0,0.10937985587796326
145,36.25,0.10852822297311641
146,36.5,0.1084612305500914
147,36.75,0.10823483852956658
148,37.0,0.10667302795636356
149,37.25,0.10436218681231411
150,37.5,0.10292119465022684
151,37.75,0.10324805345870633
152,38.0,0.10424760378866349
153,38.25,0.10423674637511765
154,38.5,0.1037514646973538
