,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
3,34.0,32.5,32.5,0.11635917920884722,0.10169913543368374,0.014660043775163487,1.5,0.0
4,43.75,34.5,34.5,0.3728452778826939,0.11426123518626798,0.25858404269642593,9.25,0.0
5,46.25,44.25,44.25,0.40021044992170435,0.3607342549192403,0.03947619500246402,2.0,0.0
6,47.0,46.5,44.25,0.4051885992570484,0.3607342549192403,0.044454344337808094,2.75,0.0
7,47.75,47.5,44.25,0.4047274557044657,0.3607342549192403,0.043993200785225395,3.5,0.0
8,50.0,48.75,48.75,0.41779995903961703,0.399258653534997,0.01854130550462002,1.25,1.5
9,53.75,52.5,52.5,0.42076216427545327,0.4044093166329074,0.016352847642545854,1.25,0.0
10,62.75,57.75,57.75,0.9316747392319243,0.42182096930836843,0.5098537699235559,5.0,0.0
11,65.0,64.0,64.0,0.9205385532942187,0.8986020444866948,0.021936508807523958,1.0,0.5
12,66.25,65.75,65.75,0.9059588627431313,0.8953728842496518,0.010585978493479531,0.5,0.5
13,71.5,69.25,69.25,0.881634500202032,0.8589575789810725,0.022676921220959545,2.25,0.0
14,72.25,71.75,69.25,0.8849664641821321,0.8589575789810725,0.026008885201059595,3.0,0.0
15,74.75,72.75,72.75,1.0165026961210626,0.8833428872751536,0.13315980884590894,2.0,0.0
16,79.75,75.5,75.5,2.2953995531220714,0.9951824237936596,1.300217129328412,4.25,0.0
17,80.5,80.25,75.5,2.2954520262401563,0.9951824237936596,1.3002696024464968,5.0,0.0
18,83.75,83.25,83.25,2.1301512939518408,2.114286750755333,0.015864543196507874,0.5,0.5
19,100.25,97.0,97.0,2.2911144653728734,1.8365551746157653,0.4545592907571081,3.25,9.25
20,104.0,102.0,102.0,2.2384491302696734,2.1985562760189374,0.039892854250735965,2.0,0.75
21,121.5,114.25,114.25,3.2176124192303948,1.9951716823567547,1.22244073687364,7.25,5.0
22,153.0,149.5,149.5,2.9128483443738333,2.1383061919555364,0.7745421524182969,3.5,0.0
23,159.75,156.25,156.25,3.4817106300917247,2.6188786281176606,0.8628320019740641,3.5,3.75
24,169.0,166.75,166.75,2.962714186347482,2.7526283395678335,0.21008584677964848,2.25,1.75
25,185.25,180.5,180.5,4.521211588523734,2.555046916392452,1.9661646721312818,4.75,0.0
26,191.75,189.75,189.75,4.697299705094417,3.7042080882165838,0.993091616877833,2.0,5.25
27,202.5,200.25,200.25,4.83868313842516,3.8648727794552826,0.9738103589698772,2.25,2.75
28,208.75,208.25,208.25,4.13289861386057,4.11516636434037,0.017732249520200583,0.5,0.5
29,210.5,209.75,209.75,4.107475981897713,4.077034063081481,0.030441918816232594,0.75,0.5
30,213.5,212.25,212.25,4.045895159435163,4.030253016037374,0.015642143397788466,1.25,1.25
