1610866662.000000, 1610866662.000000, 1610866662.000000
32.000000, 32.000000, 32.000000
-18,2,61
-17,2,61
-18,-1,62
-15,-3,64
-17,-1,62
-17,0,61
-14,-3,62
-17,-4,62
-17,-4,62
-14,-7,62
-15,-10,63
-14,-6,63
-14,-4,61
-15,-6,63
-15,-4,62
-17,4,60
-16,4,62
-19,13,62
-8,17,54
-4,17,53
7,32,68
5,30,60
-5,24,43
-15,22,48
10,19,69
-2,20,69
-4,21,68
-15,31,81
-14,34,84
-25,30,66
-29,25,69
-17,17,61
-34,22,61
-33,29,74
-4,28,69
9,33,56
-8,42,33
-11,47,21
-11,68,6
-18,104,38
-5,59,22
-39,46,30
-31,52,28
-20,55,29
-23,55,28
-34,59,21
-24,58,23
-17,63,18
-22,58,22
-19,58,26
-10,59,25
-10,58,20
-20,57,19
-14,63,17
-10,61,17
-3,64,17
-8,65,14
-19,64,12
-13,62,16
-17,62,17
-16,60,19
-20,51,20
-46,57,39
-40,57,26
-31,51,33
-30,51,32
-42,50,44
-31,51,55
-30,40,50
-19,28,43
-10,25,66
-24,4,76
-14,6,84
-18,3,94
-20,1,85
-14,-7,65
-14,-12,60
-24,-15,53
-18,-20,43
-19,-22,29
-41,-21,24
-30,-13,42
-32,-15,42
-31,-6,42
-34,-4,39
-34,2,61
-46,3,46
-36,-3,43
-34,-2,50
-53,4,42
-54,0,35
-55,-1,45
-63,1,38
-61,-2,29
-67,-8,36
-58,-10,38
-50,-18,40
-48,-11,36
-59,-2,27
-58,0,10
-54,13,17
-61,17,13
-62,21,17
-50,21,17
-58,24,34
-58,13,30
-53,15,32
-52,14,34
-50,11,35
-48,10,37
-48,14,44
-45,12,45
-44,12,48
-50,13,57
-48,16,54
-39,16,46
-36,15,51
-35,20,49
-32,18,56
-33,22,53
-32,13,66
-37,39,73
-26,20,63
-13,15,56
-17,31,54
-11,17,58
-21,19,56
-28,18,51
-25,30,45
-34,20,51
-40,14,58
-41,16,55
-42,16,52
-43,14,52
-38,10,44
-40,8,36
-44,12,38
-47,12,38
-50,17,36
-44,15,35
-42,13,42
-46,12,47
-43,11,48
-41,7,46
-49,13,37
-53,9,35
-55,9,30
-56,8,34
-60,15,15
-61,13,-5
-82,18,-35
-93,23,-36
-96,44,-46
-90,35,-44
-76,31,-26
-47,13,-8
-35,1,-11
-28,-13,20
-22,-11,41
5,-25,38
16,-25,73
9,-24,80
22,-41,88
13,-38,83
36,-35,90
6,-39,74
-17,-37,40
-17,-35,60
-19,-30,52
-5,-23,52
4,-23,45
-6,-17,60
2,-18,62
15,-23,57
-7,-22,64
-11,-26,73
-17,-31,58
-16,-30,54
-12,-24,60
-9,-27,52
19,-30,40
2,-21,67
-19,-1,95
-49,-10,77
-50,-22,68
-14,-13,68
-8,-16,63
-40,-26,24
-67,-35,13
-55,-23,39
-27,-18,60
-32,-22,54
-22,-24,53
-25,-20,55
-44,-22,44
-30,-22,53
-20,-22,63
-13,-18,78
-9,-22,71
-25,-36,50
-23,-45,46
-6,-44,44
-38,-21,44
-38,-19,45
-68,-9,15
-60,1,15
-70,8,37
-69,10,42
-41,0,45
-43,-5,36
-47,-10,28
-60,-12,35
-65,-15,39
-51,-7,47
-50,-17,44
-53,-18,29
-54,-16,26
-50,-15,25
-54,-14,29
-87,-15,41
-52,-2,38
-48,-6,31
-42,-12,35
-47,-15,45
-45,-11,44
-54,-10,41
-58,-8,42
-50,-9,43
-48,-9,43
-46,-8,43
-48,-8,42
-48,-9,41
-49,-10,43
-48,-10,43
-46,-11,44
-45,-10,45
-44,-10,45
-43,-10,46
-43,-10,47
-42,-10,46
-41,-10,47
-41,-10,48
-42,-9,49
-42,-9,49
-39,-10,48
-40,-10,48
-43,-10,47
-42,-10,48
-42,-9,47
-43,-9,47
-42,-11,49
-41,-11,49
-40,-10,48
-43,-8,49
-41,-6,51
-42,-7,49
-39,-9,50
-38,-9,51
-39,-9,51
-40,-9,50
-38,-10,52
-38,-9,53
-36,-8,53
-35,-7,54
-34,-7,55
-33,-8,54
-33,-9,54
-33,-10,54
-33,-9,55
-33,-8,55
-33,-8,55
-33,-8,54
-36,-7,54
-35,-7,54
-35,-8,53
-35,-8,53
-37,-8,52
-38,-8,51
-38,-8,51
-38,-8,51
-38,-8,50
-38,-9,52
-37,-9,52
-38,-8,52
-39,-7,51
-39,-8,51
-40,-8,50
-39,-8,50
-38,-8,50
-40,-7,51
-39,-7,51
-40,-7,51
-37,-8,52
-37,-8,51
-40,-7,51
-43,-8,50
-40,-9,49
-39,-10,49
-39,-9,50
-39,-8,50
-39,-8,50
-40,-7,50
-40,-7,50
-40,-7,50
-41,-8,49
-40,-7,51
-39,-8,50
-39,-8,50
-39,-8,50
-39,-8,50
-40,-8,49
-42,-9,49
-42,-8,50
-43,-7,51
-42,-7,50
-37,-8,51
-36,-8,52
-36,-8,52
-35,-8,51
-38,-9,50
-44,-8,51
-44,-7,50
-43,-9,48
-45,-6,46
-43,-7,46
-42,-8,47
-43,-8,47
-43,-8,48
-43,-8,48
-43,-8,47
-43,-8,48
-43,-8,48
-43,-8,48
-43,-7,47
-42,-7,47
-42,-8,48
-43,-8,47
-44,-8,47
-44,-9,46
-44,-8,46
-44,-9,45
-45,-9,45
-45,-9,45
-44,-8,46
-45,-9,45
-45,-9,46
-44,-8,46
-43,-8,47
-44,-8,47
-44,-8,46
-44,-8,46
-45,-8,46
-45,-8,46
-44,-8,46
-44,-9,46
-44,-8,46
-44,-8,46
-45,-8,46
-44,-9,45
-44,-8,46
-44,-8,47
-44,-8,46
-45,-8,46
-44,-8,46
-44,-8,47
-44,-8,46
-45,-8,45
-46,-8,44
-46,-8,45
-47,-9,44
-47,-8,44
-46,-8,44
-47,-8,44
-47,-9,44
-47,-8,43
-46,-8,44
-46,-8,44
-47,-8,43
-46,-9,44
-45,-9,45
-45,-9,45
-46,-8,44
-46,-8,45
-46,-8,45
-46,-8,44
-45,-8,45
-45,-8,45
-45,-8,45
-45,-8,45
-45,-8,45
-45,-8,45
-45,-8,45
-45,-8,46
-46,-9,43
-43,-8,47
-45,-8,46
-46,-9,44
-46,-9,44
-44,-8,47
-44,-8,46
-44,-8,46
-44,-8,46
-44,-8,47
-44,-8,47
-44,-8,47
-44,-8,47
-44,-8,45
-45,-8,44
-45,-9,44
-46,-9,44
-46,-9,44
-45,-8,44
-45,-8,46
-45,-9,46
-45,-8,46
-44,-8,46
-44,-9,45
-45,-9,45
-46,-9,45
-45,-9,45
-44,-8,46
-44,-8,46
-45,-9,45
-44,-8,46
-45,-8,46
-46,-8,44
-47,-9,44
-48,-9,42
-48,-9,42
-49,-9,42
-48,-9,41
-48,-9,42
-48,-9,41
-48,-10,41
-49,-10,40
-49,-9,41
-48,-9,42
-45,-9,46
-46,-9,46
-47,-9,43
-47,-9,43
-48,-9,44
-48,-9,42
-48,-9,41
-48,-9,42
-48,-9,42
-49,-9,41
-48,-9,42
-48,-9,41
-48,-9,41
-49,-9,42
-48,-9,43
-48,-9,42
-49,-9,41
-49,-9,41
-49,-9,40
-49,-9,41
-49,-10,40
-49,-10,41
-49,-9,40
