G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
f3,A,74,72,25,70,86,81,5,1,2,4,6,3,1531,72.90
f3,B,50,50,50,50,50,50,5,1,2,4,6,3,1050,50.00
