G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
f1,A,70,14,30,64,62,38,6,1,3,4,5,2,1256,59.81
f1,B,50,50,50,50,50,50,6,1,3,4,5,2,1050,50
