G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
ftraining,A,62,13,65,35,37,36,6,1,5,3,4,2,1035,49.29
ftraining,B,50,50,50,50,50,50,6,1,5,3,4,2,1050,50.00
