G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
f4,A,91,85,97,89,89,78,6,1,5,3,4,2,1895,90.24
f4,B,50,50,50,50,50,50,6,1,5,3,4,2,1050,50.00
