G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
H2,A,77,46,97,66,56,64,5,1,6,3,2,4,1579,75.19
H2,B,50,50,50,50,50,50,5,1,6,3,2,4,1050,50.00
