G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
H4,A,84,93,72,70,100,72,4,6,3,1,5,2,1719,81.85
H4,B,50,50,50,50,50,50,4,6,3,1,5,2,1050,50
