G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
Ht,A,76,55,54,50,42,36,6,5,3,4,2,1,1213,57.76
Ht,B,50,50,50,50,50,50,6,5,3,4,2,1,1050,50.00
