G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
L1,A,90,0,50,85,30,10,6,1,4,5,2,3,1255,59.76
L1,B,50,50,50,50,50,50,6,1,4,5,2,3,1050,50.00
