G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
L4,A,70,0,90,55,80,60,5,1,4,3,6,2,1475,70.24
L4,B,50,50,50,50,50,50,5,1,4,3,6,2,1050,50.00
