G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
L,A,70,0,85,25,60,50,6,1,5,2,4,3,1285,61.19
L,B,50,50,50,50,50,50,6,1,5,2,4,3,1050,50.00
