G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
L2,A,85,0,100,60,20,75,5,1,6,4,2,3,1530,72.86
L2,B,50,50,50,50,50,50,5,1,6,4,2,3,1050,50.00
