G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
L3,A,80,0,70,20,85,50,6,1,4,2,5,3,1375,65.48
L3,B,50,50,50,50,50,50,6,1,4,2,5,3,1050,50.00
