,a1,a1,a2,a2
,b1,b2,b1,b2
E,-0.983835341,0.770640874,0.972756424,0.424542918
F,0.08304552,-0.658443852,0.785724183,-0.559455624
G,0.304869469,0.108414543,0.439906922,0.338997645
H,0.305837624,-0.238867146,0.52429108,0.627011208
I,0.028899912,0.312591965,0.174265322,0.766180896
