G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
NoName,A,55,20,20,70,80,45,5,1,2,4,6,3,1230,58.57
NoName,B,50,50,50,50,50,50,5,1,2,4,6,3,1050,50.00
