G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
I3,A,60,40,30,70,95,55,4,2,1,3,6,5,1405,66.90
I3,B,50,50,50,50,50,50,4,2,1,3,6,5,1050,50.00
