1607661765.000000, 1607661765.000000, 1607661765.000000
32.000000, 32.000000, 32.000000
-30,28,44
-34,28,45
-35,28,47
-35,29,48
-35,30,45
-35,30,45
-33,30,47
-33,29,46
-34,30,45
-34,30,45
-34,30,45
-36,30,44
-35,30,45
-35,30,45
-36,30,45
-36,30,44
-35,30,45
-35,30,45
-35,30,45
-35,30,46
-35,30,45
-35,30,44
-34,31,44
-34,30,44
-35,30,45
-35,29,45
-35,29,46
-35,30,45
-35,30,44
-34,31,44
-35,31,44
-35,30,44
-35,29,45
-35,29,45
-35,30,45
-36,30,44
-34,30,45
-34,30,45
-35,30,45
-35,30,45
-35,30,45
-35,30,45
-35,30,45
-35,30,45
-34,30,45
-35,30,45
-35,30,44
-35,30,45
-35,30,45
-35,30,45
-35,30,45
-35,30,44
-35,30,45
-35,30,45
-36,30,44
-35,30,45
-34,30,45
-35,30,44
-36,30,44
-35,30,45
-35,30,45
-35,30,45
-35,30,45
-35,30,44
-35,30,44
-35,30,44
-35,30,45
-35,30,45
-35,30,44
-34,30,44
-34,30,45
-34,29,44
-35,29,45
-36,28,46
-35,28,46
-34,30,44
-35,31,44
-35,31,44
-36,31,44
-35,30,44
-35,29,45
-36,29,45
-36,30,45
-36,30,44
-35,30,44
-35,31,45
-35,30,45
-36,29,44
-36,29,45
-36,29,44
-36,30,44
-35,30,44
-35,30,44
-36,30,44
-35,30,44
-36,30,45
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,31,44
-36,30,44
-36,30,44
-35,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,31,44
-36,31,44
-36,30,44
-35,30,44
-36,30,44
-36,30,44
-35,31,44
-35,31,43
-35,31,43
-35,31,44
-35,30,44
-36,29,45
-36,29,45
-35,30,44
-36,31,44
-36,31,44
-36,31,43
-36,31,44
-36,30,44
-36,30,44
-36,30,44
-37,30,44
-36,30,44
-36,31,44
-36,31,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,31,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,31,43
-36,31,44
-36,30,44
-36,30,44
-35,30,43
-36,31,44
-36,30,44
-35,30,43
-35,30,44
-36,28,46
-36,29,44
-35,30,43
-36,32,44
-36,31,44
-36,31,43
-37,30,44
-37,29,44
-37,29,44
-37,29,44
-36,30,44
-36,31,44
-36,31,44
-36,30,44
-36,30,43
-37,30,44
-37,30,43
-36,30,43
-36,30,44
-37,30,44
-37,30,44
-36,30,43
-36,30,44
-37,30,44
-37,30,43
-37,30,44
-36,30,44
-36,30,43
-36,31,43
-36,30,43
-37,30,43
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-37,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,30,44
-36,31,44
-36,30,44
-36,31,44
-36,31,44
-36,31,44
-37,31,44
-35,30,43
-32,32,41
-33,33,41
-37,29,46
-41,24,51
-38,25,43
-36,28,41
-35,36,41
-34,38,40
-34,38,38
-37,29,46
-39,25,49
