answer,choicedCardRule,sortingRule,RT 
0,0,0,1740.1641 
0,0,0,969.7388 
0,0,0,1059.7445 
0,0,0,692.1667 
0,0,0,964.4626 
0,0,0,803.8765 
1,0,1,884.7923 
2,-1,1,1064.5661 
1,0,1,794.0896 
2,-1,1,1093.2341 
1,0,1,675.4346 
1,0,1,691.1305 
1,0,1,1028.5453 
1,2,1,900.617 
2,-1,1,1065.452 
2,-1,1,1054.3119 
0,1,1,1120.7706 
0,1,1,980.2321 
2,-1,1,1230.6927 
0,1,1,1146.273 
0,1,1,923.0848 
2,-1,1,1307.6592 
2,-1,1,1356.9712 
0,1,1,931.3984 
0,1,1,1060.2705 
1,1,2,1204.3358 
0,2,2,1180.3717 
0,2,2,948.4553 
0,2,2,796.6005 
0,2,2,1140.4113 
0,2,2,866.8492 
0,2,2,939.285 
1,2,0,716.738 
1,1,0,709.3756 
0,0,0,787.6159 
0,0,0,804.3948 
0,0,0,868.7347 
2,-1,0,947.3133 
0,0,0,701.5597 
2,-1,0,1000.6066 
2,-1,0,1055.7559 
1,1,0,789.8745 
2,-1,0,1079.1429 
0,0,0,953.3557 
2,-1,0,1176.7014 
0,0,0,832.0249 
0,0,0,779.4465 
2,-1,0,1159.8044 
0,0,0,1065.0607 
0,0,0,972.5677 
0,0,0,772.4702 
1,0,1,859.6696 
2,-1,1,1167.2488 
1,2,1,969.9778 
2,-1,1,1138.8592 
2,-1,1,1188.4866 
0,1,1,1214.241 
0,1,1,860.3275 
0,1,1,1203.408 
2,-1,1,1346.3523 
0,1,1,1125.1817 
0,1,1,916.7032 
0,1,1,972.846 
0,0,0,796.9464 
1,1,0,1236.899 
0,0,0,788.6917 
2,-1,0,1139.8999 
0,0,0,965.7418 
2,-1,0,1188.1349 
0,0,0,839.6606 
2,-1,0,1198.2257 
2,-1,0,1279.4404 
0,0,0,905.0362 
0,0,0,860.8074 
0,0,0,988.7507 
1,0,2,757.0702 
2,-1,2,1149.8145 
1,1,2,1018.4943 
0,2,2,1004.0415 
2,-1,2,1198.2317 
0,2,2,843.5555 
0,2,2,1036.1515 
0,2,2,948.417 
0,2,2,876.5067 
0,2,2,947.8467 
1,2,0,909.4023 
1,2,0,987.7078 
2,-1,0,1130.2736 
1,2,0,1095.1733 
0,0,0,891.4507 
0,0,0,893.7771 
2,-1,0,1202.8452 
0,0,0,1052.9923 
0,0,0,1060.0678 
0,0,0,1100.1405 
0,0,0,1245.4518 
