answer,choicedCardRule,sortingRule,RT 
1,2,0,1810.7711 
1,1,0,1329.9138 
0,0,0,642.7547 
0,0,0,704.7703 
2,-1,0,1577.3663 
0,0,0,862.3039 
2,-1,0,1245.7405 
0,0,0,1106.5085 
0,0,0,892.119 
0,0,0,859.9232 
1,0,1,1124.1969 
1,0,1,867.9263 
1,2,1,725.6409 
1,2,1,1044.1033 
2,-1,1,1115.5675 
1,0,1,1179.4382 
0,1,1,804.4491 
0,1,1,773.1101 
2,-1,1,1200.4027 
0,1,1,1071.2302 
0,1,1,868.6432 
2,-1,1,1144.8419 
0,1,1,1090.472 
0,1,1,916.5616 
1,1,2,1020.1214 
0,2,2,924.4857 
0,2,2,1004.2292 
0,2,2,803.4976 
0,2,2,804.544 
0,2,2,980.1317 
0,2,2,853.0047 
1,2,0,876.2573 
0,0,0,915.8748 
2,-1,0,1070.8633 
0,0,0,1131.3161 
0,0,0,1043.3746 
2,-1,0,1211.4266 
0,0,0,893.2671 
0,0,0,875.5206 
0,0,0,805.6162 
2,-1,1,1171.8786 
1,0,1,1028.6841 
1,2,1,1030.9376 
1,2,1,997.1917 
0,1,1,869.3613 
0,1,1,1140.252 
0,1,1,1100.4812 
0,1,1,828.4027 
0,1,1,988.9798 
0,1,1,964.3733 
1,1,2,1100.2926 
1,0,2,941.6185 
0,2,2,787.8923 
0,2,2,940.5296 
0,2,2,764.0415 
0,2,2,917.0876 
0,2,2,819.6302 
0,2,2,844.2682 
1,2,1,731.8447 
1,2,1,981.2099 
2,-1,1,1038.087 
0,1,1,891.7834 
0,1,1,877.2546 
2,-1,1,1089.4981 
0,1,1,1078.0712 
0,1,1,851.6748 
0,1,1,1140.7109 
0,1,1,853.0768 
1,1,2,844.2023 
1,0,2,908.5949 
0,2,2,805.4586 
1,1,2,875.8517 
0,2,2,1012.9825 
0,2,2,788.8859 
0,2,2,780.6855 
0,2,2,820.6951 
0,2,2,843.7025 
0,2,2,900.9506 
1,2,1,892.4086 
2,-1,1,1033.3986 
2,-1,1,1085.1999 
2,-1,1,1146.4754 
1,2,1,823.4824 
1,2,1,907.7209 
1,2,1,693.5494 
0,1,1,925.9635 
1,0,1,941.6324 
1,2,1,836.3819 
1,0,1,884.2398 
0,1,1,948.326 
2,-1,1,1096.5151 
0,1,1,1023.5551 
0,1,1,925.6101 
2,-1,1,1182.7844 
0,1,1,1110.7426 
0,1,1,948.5805 
