G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
NoName,A,55,15,50,60,35,30,6,1,5,4,2,3,995,47.38
NoName,B,50,50,50,50,50,50,6,1,5,4,2,3,1050,50.00
