G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
K4,A,45,10,70,55,75,70,4,1,2,3,6,5,1295,61.66
K4,B,50,50,50,50,50,50,4,1,2,3,6,5,1050,50
